Table 2: Selected infections
|Organization|Confidence|Location|Infections|
|---|---|---|---|
|ASEAN|H|ID, MY|3|
|Asian Development Bank|H|PH, IN|3|
|Associated Press, UK|H|GB, HK|2|
|Bureau of International Trade Relations|L|PH|1|
|CanTV, Venezuela|H|VE|8|
|Ceger, Portugal|H|PT|1|
|Consulate General of Malaysia, Hong Kong|H|HK|1|
|Deloitte & Touche, New York|H|US|1|
|Department of Commerce, Solomon Islands|L|SB|1|
|Department of Foreign Affairs, Indonesia|H|ID|3|
|Department of Foreign Affairs, Philippines|H|PH|1|
|Department of Science and Technology, Philippines|H|PH|2|
|Embassy of China, US (see footnote 50)|H|US|1|
|Embassy of Cyprus, Germany|H|DE|1|
|Embassy of Germany, Australia|M|AU|1|
|Embassy of India, Belgium|L|BE|1|
|Embassy of India, Serbia|L|CS|1|
|Embassy of India, Germany|H|DE|1|
|Embassy of India, Italy|H|IT|1|
|Embassy Of India, Kuwait|H|KW|1|
|Embassy of India, USA|H|US|7|
|Embassy of India, Zimbabwe|H|ZA|1|
|Embassy of Indonesia, China|H|CN|1|
|Embassy of Malaysia, Cuba|H|CU|1|
|Embassy of Malaysia, Italy|H|IT|1|
|Embassy of Malta|L|MT|4|
|Embassy of Malta, Australia|L|AU|1|
|Embassy of Malta, Belgium|L|BE|11|
|Embassy of Malta, Libya|L|LY|1|
|Embassy of Pakistan, Bahrain|L|BH|1|
|Embassy of Papua New Guinea, China|L|CN|1|
|Embassy of Portugal, Finland|H|FI|1|
|Embassy of Portugal, Germany|H|DE|1|
|Embassy of The Republic Of China (Taiwan), Swaziland|H|TW|1|
|Embassy of Romania, Finland|H|FI|1|
|Embassy of Romania, France|H|FR|1|
JR02-2009 Tracking GhostNet - PART TWO
