Timeline
|Table 1|Col2|
|---|---|
|W32.Stuxnet Timeline|W32.Stuxnet Timeline|
|Date|Event|
|November 20, 2008|Trojan.Zlob variant found to be using the LNK vulnerability only later identified in Stuxnet.|
|April, 2009|Security magazine Hakin9 releases details of a remote code execution vulnerability in the Printer Spoolerservice. Later identified asMS10-061.|
|June, 2009|Earliest Stuxnet sample seen. Does not exploitMS10-046. Does not have signed driver files.|
|January 25, 2010|Stuxnet driver signed with a valid certificate belonging to Realtek Semiconductor Corps.|
|March, 2010|First Stuxnet variant to exploit MS10-046.|
|June 17, 2010|Virusblokada reports W32.Stuxnet (named RootkitTmphider). Reports that it’s using a vulnerability in theprocessing of shortcuts/.lnk files in order to propagate (later identified asMS10-046).|
|July 13, 2010|Symantec adds detection as W32.Temphid (previously detected as Trojan Horse).|
|July 16, 2010|Microsoft issues Security Advisory for “Vulnerability in Windows Shell Could Allow Remote Code Execution(2286198)” that covers the vulnerability in processing shortcuts/.lnk files.Verisign revokes Realtek Semiconductor Corps certificate.|
|July 17, 2010|Eset identifies a new Stuxnet driver, this time signed with a certificate from JMicron Technology Corp.|
|July 19, 2010|Siemens report that they are investigating reports of malware infecting Siemens WinCC SCADA systems.Symantec renames detection to W32.Stuxnet.|
|July 20, 2010|Symantec monitors the Stuxnet Command and Control traffic.|
|July 22, 2010|Verisign revokes the JMicron Technology Corps certificate.|
|August 2, 2010|Microsoft issuesMS10-046, which patches the Windows Shell shortcut vulnerability.|
|August 6, 2010|Symantec reports how Stuxnet can inject and hide code on a PLC affecting industrial control systems.|
|September 14, 2010|Microsoft releasesMS10-061 to patch the Printer Spooler Vulnerability identified by Symantec in August.Microsoft report two other privilege escalation vulnerabilities identified by Symantec in August.|
|September 30, 2010|Symantec presents at Virus Bulletin and releases comprehensive analysis of Stuxnet.|
