Appendix B
Processes checked for and the assumed security product associated with the process:
- umxagent, Tiny Personal Firewall

 - cfgintpr, Tiny Personal Firewall

- umxldra, Tiny Personal Firewall

- amon, Tiny Activity Monitor

- UmxCfg, Tiny Personal Firewall

- UmxPol, Tiny Personal Firewall

- UmxTray, Tiny Personal Firewall

- vsmon, ZoneAlarm Personal Firewall

- zapro, ZoneAlarm Personal Firewall

- zlclient, ZoneAlarm Personal Firewall

- tds-3,TDS3 Trojan Defense Suite

- avp, Kaspersky

- avpcc, Kaspersky

- avpm, Kaspersky

- kavpf, Kaspersky

- kavi, Kaspersky

- safensec,SafenSoft

- snsmcon, SafenSoft

- filemon, Sysinternals Filemon

- regmon, Sysinternals Filemon

- FrameworkService, McAfee

- UpdaterUI, McAfee

- shstat, McAfee

- naPrdMgr, McAfee

- rapapp.exe, Blackice Firewall

 - blackice.exe, Blackice Firewall

- blackd.exe, Blackice Firewall

- rcfgsvc.exe

- pfwcfgsurrogate.exe, Tiny Personal Firewall

- pfwadmin.exe, Tiny Personal Firewall

- persfw.exe, Kerio Personal Firewall

- agentw.exe, Kerio Personal Firewall

- agenta.exe, Kerio Personal Firewall

- msascui.exe, Windows Defender

- msmpeng.exe, Windows Defender

- fssm32.exe, F-Secure

- fsgk32st.exe, F-Secure

- fsdfwd.exe, F-Secure

- fsaw.exe, F-Secure

- fsavgui.exe, F-Secure

- fsav32.exe, F-Secure

- fsav.exe, F-Secure

- fsma32.exe, F-Secure

- fsm32.exe, F-Secure

- fsgk32.exe, F-Secure
