Appendix C
Table of each allowed function identifier, the corresponding device type, and the assumed device name.
|Table 8Function identifiers, device types, and assumed device name|Col2|Col3|
|---|---|---|
|Function identifierPT|Device type0|Device name|
|Function identifierPT|Device type0|Pressure Transmitter|
|PCV|0|Pressure Control Valve|
|PIA|0|Pressure Indicator Alarm|
|PIT|0|Pressure Indicator Transmitter|
|PIC|0|Pressure Indicator Controller|
|PI|0|Pressure Indicator|
|PS|0|Pressure Switch|
|HS|1|Hand Switch|
|HV|1|Hand Valve|
|PV|1|Pressure Valve|
|EP|1|Voltage (Test) Point|
|ZLO|2|Light Position Open (Status light)|
|ZO|2|Position Open|
|ZLC|3|Light Position Closed|
|ZC|3|Position Closed|
|MVS|4|Manual Valve Switch|
|RVS|4|Relief Valve Switch|
|VS|4|Valve Switch|
|SHS|4|High Frequency Switch|
|MV|5|Manual Valve|
|RV|5|Relief Valve|
|SV|5|Frequency Control Valve|
|YV|5|Valve State Indicator|
|FIA|8|Flow Rate Indicator Alarm|
|FITC|A|Flow Rate Indicator Transmitter Controller|
|FIT|9|Flow Rate Indicator Transmitter|
|FIC|C|Flow Rate Indicator Controller|
|FT|C|Flow Rate Transmitter|
|MFC|C|Mass Flow Controller|
|MFM|C|Mass Flow Meter|
