


Sentence : eset
deny from 195.168.53.0/24 < eset
A second .htaccess file was found in the home folder of the only user in the system.
order deny,allow
Order allow,deny
deny from 23.20.44.92                  < Amazon EC2
deny from 38.105.71.0/24              < Cyveillance Inc
deny from 66.150.14.0/24              < Internap Network Services
deny from 150.70.0.0/16               < TRENDMICRO
deny from 194.72.238.0/24 < Netcraft Ltd
deny from 78.158.11.0/24              < evuln.com
deny from 128.232.0.0/16              < cambridge computer laboratory
deny from 174.36.0.0/15               < softlayer
deny from 174.122.254.42             < softlayer
deny from 187.122.176.14             < segurança virtua
deny from 217.23.0.0/24               < worldstream
deny from 8.28.16.254                  < bluecoat
deny from 103.246.38.0/24 < bluecoat
deny from 199.19.248.0/21 < bluecoat
deny from 199.91.132.0/22 < bluecoat
deny from 195.168.53.0/24 < eset
allow from all
Output : 
{
    "nodes": [
        {"id": 1, "description": ".htaccess file", "type" : "DOCF"},
        {"id": 2, "description": "home folder of the only user in the system", "type" : "SYSP"},
        {"id": 3, "description": "195.168.53.0/24", "type" : "CCSH"},
        {"id": 4, "description": "23.20.44.92", "type" : "CCSH"},
        {"id": 5, "description": "Amazon EC2", "type" : "COUN"},
        {"id": 6, "description": "38.105.71.0/24", "type" : "CCSH"},
        {"id": 7, "description": "Cyveillance Inc", "type" : "COUN"},
        {"id": 8, "description": "66.150.14.0/24", "type" : "CCSH"},
        {"id": 9, "description": "Internap Network Services", "type" : "COUN"},
        {"id": 10, "description": "150.70.0.0/16", "type" : "CCSH"},
        {"id": 11, "description": "TRENDMICRO", "type" : "COUN"},
        {"id": 12, "description": "194.72.238.0/24", "type" : "CCSH"},
        {"id": 13, "description": "Netcraft Ltd", "type" : "COUN"},
        {"id": 14, "description": "78.158.11.0/24", "type" : "CCSH"},
        {"id": 15, "description": "evuln.com", "type" : "URLS"},
        {"id": 16, "description": "128.232.0.0/16", "type" : "CCSH"},
        {"id": 17, "description": "cambridge computer laboratory", "type" : "COUN"},
        {"id": 18, "description": "174.36.0.0/15", "type" : "CCSH"},
        {"id": 19, "description": "softlayer", "type" : "COUN"},
        {"id": 20, "description": "174.122.254.42", "type" : "CCSH"},
        {"id": 21, "description": "187.122.176.14", "type" : "CCSH"},
        {"id": 22, "description": "segurança virtua", "type" : "COUN"},
        {"id": 23, "description": "217.23.0.0/24", "type" : "CCSH"},
        {"id": 24, "description": "worldstream", "type" : "COUN"},
        {"id": 25, "description": "8.28.16.254", "type" : "CCSH"},
        {"id": 26, "description": "bluecoat", "type" : "COUN"},
        {"id": 27, "description": "103.246.38.0/24", "type" : "CCSH"},
        {"id": 28, "description": "199.19.248.0/21", "type" : "CCSH"},
        {"id": 29, "description": "199.91.132.0/22", "type" : "CCSH"}
    ],
    "edges": [
        {"source": 1, "target": 2, "rel_name" : "located in"},
        {"source": 1, "target": 3, "rel_name" : "denies access from"},
        {"source": 1, "target": 4, "rel_name" : "denies access from"},
        {"source": 4, "target": 5, "rel_name" : "associated with"},
        {"source": 1, "target": 6, "rel_name" : "denies access from"},
        {"source": 6, "target": 7, "rel_name" : "associated with"},
        {"source": 1, "target": 8, "rel_name" : "denies access from"},
        {"source": 8, "target": 9, "rel_name" : "associated with"},
        {"source": 1, "target": 10, "rel_name" : "denies access from"},
        {"source": 10, "target": 11, "rel_name" : "associated with"},
        {"source": 1, "target": 12, "rel_name" : "denies access from"},
        {"source": 12, "target": 13, "rel_name" : "associated with"},
        {"source": 1, "target": 14, "rel_name" : "denies access from"},
        {"source": 14, "target": 15, "rel_name" : "associated with"},
        {"source": 1, "target": 16, "rel_name" : "denies access from"},
        {"source": 16, "target": 17, "rel_name" : "associated with"},
        {"source": 1, "target": 18, "rel_name" : "denies access from"},
        {"source": 18, "target": 19, "rel_name" : "associated with"},
        {"source": 1, "target": 20, "rel_name" : "denies access from"},
        {"source": 1, "target": 21, "rel_name" : "denies access from"},
        {"source": 21, "target": 22, "rel_name" : "associated with"},
        {"source": 1, "target": 23, "rel_name" : "denies access from"},
        {"source": 23, "target": 24, "rel_name" : "associated with"},
        {"source": 1, "target": 25, "rel_name" : "denies access from"},
        {"source": 25, "target": 26, "rel_name" : "associated with"},
        {"source": 1, "target": 27, "rel_name" : "denies access from"},
        {"source": 1, "target": 28, "rel_name" : "denies access from"},
        {"source": 1, "target": 29, "rel_name" : "denies access from"}
    ]
}
