Backdoor.Oldrea
|Table 4. Recent Oldrea C&C servers detected by Symantec|Col2|Col3|
|---|---|---|
|Hostname|First Seen|Last Seen|
|a[REDACTED]e.com|25/02/2014 15:57|23/06/2014 21:06|
|e[REDACTED]k.ru|25/02/2014 18:47|23/06/2014 20:51|
|r[REDACTED]r.ru|25/02/2014 15:44|23/06/2014 17:21|
|l[REDACTED]l.net|25/02/2014 15:54|23/06/2014 12:51|
|c[REDACTED]b.ru|25/02/2014 22:37|23/06/2014 12:13|
|l[REDACTED]r.ru|05/03/2014 14:00|22/06/2014 22:06|
|p[REDACTED]3.ru|11/06/2014 03:34|22/06/2014 06:18|
|r[REDACTED]a.com|30/04/2014 00:07|17/06/2014 22:57|
|7[REDACTED]t.com|26/02/2014 09:43|13/06/2014 08:59|
|s[REDACTED]s.com|29/04/2014 23:43|13/06/2014 02:55|
|www.r[REDACTED]l.com|05/03/2014 19:18|19/03/2014 17:21|
|w[REDACTED]c.org|26/02/2014 04:51|11/03/2014 23:30|
|s[REDACTED]s.com|06/09/2013 04:03|16/01/2014 23:54|
|s[REDACTED]f.com.ua|14/01/2014 21:46|16/01/2014 22:49|
|d[REDACTED]k.com|14/01/2014 08:46|16/01/2014 22:48|
|z[REDACTED]k.com|14/01/2014 21:47|16/01/2014 22:47|
|blog.o[REDACTED]d.com|19/09/2013 07:12|16/01/2014 22:40|
|a[REDACTED]l.com|06/09/2013 04:41|16/01/2014 20:52|
|a[REDACTED]r.com|19/09/2013 01:44|15/01/2014 05:57|
|k[REDACTED]x.com|20/09/2013 00:22|26/09/2013 04:25|
|blog.k[REDACTED]x.com|20/09/2013 04:04|25/09/2013 07:57|
|dl.3[REDACTED]e.com|28/08/2013 06:38|06/09/2013 10:07|
|j[REDACTED]p.co.jp|28/08/2013 06:33|06/09/2013 09:37|
|s[REDACTED]e.net|28/08/2013 09:12|06/09/2013 03:54|
