


Sentence : Appendix C: TG-2633 indicators
The threat indicators in Table 4 are associated with TG-2633 activity. The
domains and IP addresses listed in the indicators table may contain malicious
content, so consider the risks before opening them in a browser.
|Indicator|Type|Context|
|---|---|---|
|dl0.7zbiz.org|Domainname|TG-2633-related domain|
|update.7zbiz.org|Domainname|TG-2633-related domain|
|login.7zbiz.org|Domainname|TG-2633-related domain|
|7zbiz.org|Domainname|TG-2633-related domain|
|sexndomain@gmail.com|Emailaddress|Email address used to register 7zbiz.org|
|112.175.41.73|IPaddress|IP resolution for club.cjinternet.us,coderprojcet.com, as.cjinternet.us,ru.cjinternet.us, db.jcrsoft.com,nx.cjinternet.us, cc.nexoncorp.us,dl0.7zbiz.org, and update.7zbiz.org|
|club.cjinternet.us|Domainname|TG-2633-related domain|
|as.cjinternet.us|Domainname|TG-2633-related domain|
PDF generated automatically by the PDFmyURL HTML to PDF API
|ru.cjinternet.us|Domainname|TG-2633-related domain|
|---|---|---|
|nx.cjinternet.us|Domainname|TG-2633-related domain|
|evilsex@gmail.com|Emailaddress|Email address used to registercjinternet.us and nexoncorp.us|
|cc.nexoncorp.us|Domainname|TG-2633-related domainFirst seen April 12, 2012|
|coderprojcet.com|Domainname|TG-2633-related domainFirst seen August 22, 2012|
|db.jcrsoft.com|Domainname|TG-2633-related domainFirst seen July 14, 2013Last seen July 24, 2013|
|www.jjjtv.com|Domainname|TG-2633-related domainFirst seen June 6, 2012|
|soft.socksys.net|Domainname|TG-2633-related domainFirst seen October 9, 2010Last seen September 9, 2013|
|www.socksys.net|Domainname|TG-2633-related domain|
|www.hichf.com|Domainname|TG-2633-related domainFirst seen May 6, 2008Last seen May 13, 2013|
|68.178.232.100|IPaddress|IP resolution for www.hichf.comFirst seen January 3, 2014|
PDF generated automatically by the PDFmyURL HTML to PDF API
|Donnepar-godaddy@yahoo.fr|Emailaddress|Contact email address for hichf.comFirst seen May 13, 2013|
|---|---|---|
|dcaccarpowerinverter.com|Domainname|TG-2633-related domain|
|pdmadden@ruggedsystems.com|Emailaddress|Contact email address fordcaccarpowerinverer.com|
|www.pigszone.com|Domainname|TG-2633 related domain|
|122.10.87.231|IPaddress|IP resolution for www.pigszone.com|
|www.pigzone.info|Domainname|TG-2633 related domain|
|198.74.101.239|IPaddress|IP resolution for www.pigszone.info|
|wwww961h@qq.com|Emailaddress|Email address used to registerpigszone.com and pigszone.info|
Table 4. Threat indicators for TG-2633.
Output : 
{
    "nodes": [
        {"id": 1, "description": "TG-2633", "type" : "ACTO"},
        {"id": 2, "description": "dl0.7zbiz.org", "type" : "CCSH"},
        {"id": 3, "description": "update.7zbiz.org", "type" : "CCSH"},
        {"id": 4, "description": "login.7zbiz.org", "type" : "CCSH"},
        {"id": 5, "description": "7zbiz.org", "type" : "CCSH"},
        {"id": 6, "description": "sexndomain@gmail.com", "type" : "MAIL"},
        {"id": 7, "description": "112.175.41.73", "type" : "CCSH"},
        {"id": 8, "description": "club.cjinternet.us", "type" : "CCSH"},
        {"id": 9, "description": "as.cjinternet.us", "type" : "CCSH"},
        {"id": 10, "description": "ru.cjinternet.us", "type" : "CCSH"},
        {"id": 11, "description": "nx.cjinternet.us", "type" : "CCSH"},
        {"id": 12, "description": "evilsex@gmail.com", "type" : "MAIL"},
        {"id": 13, "description": "cc.nexoncorp.us", "type" : "CCSH"},
        {"id": 14, "description": "coderprojcet.com", "type" : "CCSH"},
        {"id": 15, "description": "db.jcrsoft.com", "type" : "CCSH"},
        {"id": 16, "description": "www.jjjtv.com", "type" : "CCSH"},
        {"id": 17, "description": "soft.socksys.net", "type" : "CCSH"},
        {"id": 18, "description": "www.socksys.net", "type" : "CCSH"},
        {"id": 19, "description": "www.hichf.com", "type" : "CCSH"},
        {"id": 20, "description": "68.178.232.100", "type" : "CCSH"},
        {"id": 21, "description": "Donnepar-godaddy@yahoo.fr", "type" : "MAIL"},
        {"id": 22, "description": "dcaccarpowerinverter.com", "type" : "CCSH"},
        {"id": 23, "description": "pdmadden@ruggedsystems.com", "type" : "MAIL"},
        {"id": 24, "description": "www.pigszone.com", "type" : "CCSH"},
        {"id": 25, "description": "122.10.87.231", "type" : "CCSH"},
        {"id": 26, "description": "www.pigzone.info", "type" : "CCSH"},
        {"id": 27, "description": "198.74.101.239", "type" : "CCSH"},
        {"id": 28, "description": "wwww961h@qq.com", "type" : "MAIL"}
    ],
    "edges": [
        {"source": 2, "target": 1, "rel_name" : "related to"},
        {"source": 3, "target": 1, "rel_name" : "related to"},
        {"source": 4, "target": 1, "rel_name" : "related to"},
        {"source": 5, "target": 1, "rel_name" : "related to"},
        {"source": 6, "target": 5, "rel_name" : "used to register"},
        {"source": 7, "target": 8, "rel_name" : "IP resolution for"},
        {"source": 7, "target": 9, "rel_name" : "IP resolution for"},
        {"source": 7, "target": 10, "rel_name" : "IP resolution for"},
        {"source": 7, "target": 11, "rel_name" : "IP resolution for"},
        {"source": 7, "target": 13, "rel_name" : "IP resolution for"},
        {"source": 8, "target": 1, "rel_name" : "related to"},
