APPENDIX A | SAMPLES
|SHA1|Description|
|---|---|
|26b9816b3f9e2f350cc92ef4c30a097c6fec7798|Main reference for related BlackEnergy 2 32-bit driver and mainDLL component analysis|
|bf9937489cb268f974d3527e877575b4f07cb0|Main reference for related BlackEnergy 2 64-bit driver (signedon 2013-12-25) and installer analysis. Basis for the start of theUkrainian target.|
|78636f7bbd52ea80d79b4e2a7882403092bbb02d|Main reference for related BlackEnergy 3 analysis|
|bf9172e87e9264d1cddfc36cbaa74402bb405708|Main reference for related si plugin analysis|
|441cfaba1dfd58ce03792ef74d183529e8e0104|Stand-alone non-persistent BlackEnergy 2 sample|
|f7d4aa90b76646f4a011585eb43b9d13c60f48eb|Trojanized Juniper installer containing related BlackEnergy 2|
|8ccd2962bce8985d0794daed6e0bf73e5557cfe8|Trojanized Adobe Bootstrapper containing related BlackEnergy2. This means that it is highly probable that there is a trojanizedAdobe package out there.|
|d496f99f7e07d5cbbd177a9d43febe8f87ebc3b|Related RTF document containing exploit|
|cc71aa8f919911676f5d775c81afc682e6e3dd3|Related BlackEnergy 2 binary containing strings that arepolitical in nature|
|abab02d663872bcdbe2e008441fcd7157c0eb52d|Oldest (compiled on 2010-12-14) related BlackEnergy 2 installerthat was found|
|e5c8c10b10ee288512d3a7c79ae1249b57857d23|Oldest (compiled on 2013-04-09) related BlackEnergy 2installer that bypass UAC that was found|
|8743c8994cc1e8219697394b5cb494efa7dad796|Oldest (signed on 2013-11-14) related BlackEnergy 2 64-bitdriver that was found|
|285b3252a878d1c633ea988153bbc23c148dd630|Oldest (compiled on 2014-05-12) related BlackEnergy 3 dropperthat was found|
The convergence of crimeware and APT attacks BLACKENERGY & QUEDAGH
