9
Built-in plugins provided by this module are:
|Id|Plugin description|
|---|---|
|1|Core framework functionality|
|13|UCL library for compression and decompression using the nrv2 family of algorithms|
|15|RC5 encryption and decryption facilities|
|61|API for manipulating the encrypted virtual fle system (VFS)|
|7|API for manipulating the encrypted virtual fle system (VFS)|
|50225|API for code injection and kernel-mode hooking|
|50215|System information|
|50223|Module notifcation routines|
|50111|Utilities|
