


Sentence : 55
Bit.ly-shortened MMS phishing links:
Action Code Operator HQ location Links created
95501 Vodafone UK 270
81825 T-Mobile Germany 213
66968 Proximus Belgium 197
67840 China Mobile China 173
98491 Zain Saudi Arabia 126
58129 Mobilkom (A1 Telekom) Austria 124
12081 Orange France 124
24806 Hamrah-e-Avval Iran 111
41967 Mobilnil Egypt 105
46736 TeliaSonera Sweden 100
13911 Mobistar Belgium 78
65842 O2 UK, Germany 78
70887 Telcomsel Indonesia 74
98455 Kcell Kazakhstan 74
94382 Mobilink Pakistan 72
12988 Airtel India 65
52378 Vodacom South Africa 63
99578 Maxis Malaysia 59
90298 Swisscom Switzerland 59
86791 Wind Mobile Canada 56
21522 MTN South Africa 56
26059 MTS Russia 55
67838 Alfa Lebanon 51
96735 Kyivstar Ukraine 51
99753 T-Mobile Germany 50
24906 Omnitel Lithuania 48
17150 MtcTouch Lebanon 43
53272 Ooredoo Qatar 36
77008 BASE Belgium 33
31756 Djezzy Algeria 29
14269 Beeline Russia 29
76587 Omantel Oman 28
44974 Velcom Belarus 27
77849 E-plus Germany 26
76102 Celcom Malaysia 26
31021 Azercell Azerbaijan 24
16611 TELE2 Sweden 24
18675 Mobifone Vietnam 22
65942 T-Mobile Germany 20
85993 Sudatel Sudan 20
65090 Diallog Belarus 19
61384 Ufone Pakistan 19
11426 TMCell Turkmenistan 19
58043 Globe Philippines 18
70102 SingTel Singapore 18
90374 Avea Turkey 18
57464 DiGi Malaysia 16
77995 Megacom Kyrgyzstan 15
27964 Warid Pakistan 11
Output : 
{
    "nodes": [
        {"id": 1, "description": "Bit.ly-shortened MMS phishing links", "type" : "URLS"},
        {"id": 2, "description": "Vodafone UK", "type" : "ACTO"},
        {"id": 3, "description": "T-Mobile Germany", "type" : "ACTO"},
        {"id": 4, "description": "Proximus Belgium", "type" : "ACTO"},
        {"id": 5, "description": "China Mobile China", "type" : "ACTO"},
        {"id": 6, "description": "Zain Saudi Arabia", "type" : "ACTO"},
        {"id": 7, "description": "Mobilkom (A1 Telekom) Austria", "type" : "ACTO"},
        {"id": 8, "description": "Orange France", "type" : "ACTO"},
        {"id": 9, "description": "Hamrah-e-Avval Iran", "type" : "ACTO"},
        {"id": 10, "description": "Mobilnil Egypt", "type" : "ACTO"},
        {"id": 11, "description": "TeliaSonera Sweden", "type" : "ACTO"},
        {"id": 12, "description": "Mobistar Belgium", "type" : "ACTO"},
        {"id": 13, "description": "O2 UK, Germany", "type" : "ACTO"},
        {"id": 14, "description": "Telcomsel Indonesia", "type" : "ACTO"},
        {"id": 15, "description": "Kcell Kazakhstan", "type" : "ACTO"},
        {"id": 16, "description": "Mobilink Pakistan", "type" : "ACTO"},
        {"id": 17, "description": "Airtel India", "type" : "ACTO"},
        {"id": 18, "description": "Vodacom South Africa", "type" : "ACTO"},
        {"id": 19, "description": "Maxis Malaysia", "type" : "ACTO"},
        {"id": 20, "description": "Swisscom Switzerland", "type" : "ACTO"},
        {"id": 21, "description": "Wind Mobile Canada", "type" : "ACTO"},
        {"id": 22, "description": "MTN South Africa", "type" : "ACTO"},
        {"id": 23, "description": "MTS Russia", "type" : "ACTO"},
        {"id": 24, "description": "Alfa Lebanon", "type" : "ACTO"},
        {"id": 25, "description": "Kyivstar Ukraine", "type" : "ACTO"},
        {"id": 26, "description": "T-Mobile Germany (second instance)", "type" : "ACTO"},
        {"id": 27, "description": "Omnitel Lithuania", "type" : "ACTO"},
        {"id": 28, "description": "MtcTouch Lebanon", "type" : "ACTO"},
        {"id": 29, "description": "Ooredoo Qatar", "type" : "ACTO"},
        {"id": 30, "description": "BASE Belgium", "type" : "ACTO"},
        {"id": 31, "description": "Djezzy Algeria", "type" : "ACTO"},
        {"id": 32, "description": "Beeline Russia", "type" : "ACTO"},
        {"id": 33, "description": "Omantel Oman", "type" : "ACTO"},
        {"id": 34, "description": "Velcom Belarus", "type" : "ACTO"},
        {"id": 35, "description": "E-plus Germany", "type" : "ACTO"},
        {"id": 36, "description": "Celcom Malaysia", "type" : "ACTO"},
        {"id": 37, "description": "Azercell Azerbaijan", "type" : "ACTO"},
        {"id": 38, "description": "TELE2 Sweden", "type" : "ACTO"},
        {"id": 39, "description": "Mobifone Vietnam", "type" : "ACTO"},
        {"id": 40, "description": "T-Mobile Germany (third instance)", "type" : "ACTO"},
        {"id": 41, "description": "Sudatel Sudan", "type" : "ACTO"},
        {"id": 42, "description": "Diallog Belarus", "type" : "ACTO"},
        {"id": 43, "description": "Ufone Pakistan", "type" : "ACTO"},
        {"id": 44, "description": "TMCell Turkmenistan", "type" : "ACTO"},
        {"id": 45, "description": "Globe Philippines", "type" : "ACTO"},
        {"id": 46, "description": "SingTel Singapore", "type" : "ACTO"},
        {"id": 47, "description": "Avea Turkey", "type" : "ACTO"},
        {"id": 48, "description": "DiGi Malaysia", "type" : "ACTO"},
        {"id": 49, "description": "Megacom Kyrgyzstan", "type" : "ACTO"},
        {"id": 50, "description": "Warid Pakistan", "type" : "ACTO"}
    ],
    "edges": [
        {"source": 1, "target": 2, "rel_name" : "created by"},
        {"source": 1, "target": 3, "rel_name" : "created by"},
        {"source": 1, "target": 4, "rel_name" : "created by"},
        {"source": 1, "target": 5, "rel_name" : "created by"},
        {"source": 1, "target": 6, "rel_name" : "created by"},
        {"source": 1, "target": 7, "rel_name" : "created by"},
        {"source": 1, "target": 8, "rel_name" : "created by"},
        {"source": 1, "target": 9, "rel_name" : "created by"},
        {"source": 1, "target": 10, "rel_name" : "created by"},
        {"source": 1, "target": 11, "rel_name" : "created by"},
        {"source": 1, "target": 12, "rel_name" : "created by"},
        {"source": 1, "target": 13, "rel_name" : "created by"},
        {"source": 1, "target": 14, "rel_name" : "created by"},
        {"source": 1, "target": 15, "rel_name" : "created by"},
        {"source": 1, "target": 16, "rel_name" : "created by"},
        {"source": 1, "target": 17, "rel_name" : "created by"},
        {"source": 1, "target": 18, "rel_name" : "created by"},
        {"source": 1, "target": 19, "rel_name" : "created by"},
        {"source": 1, "target": 20, "rel_name" : "created by"},
        {"source": 1, "target": 21, "rel_name" : "created by"},
        {"source": 1, "target": 22, "rel_name" : "created by"},
        {"source": 1, "target": 23, "rel_name" : "created by"},
        {"source": 1, "target": 24, "rel_name" : "created by"},
        {"source": 1, "target": 25, "rel_name" : "created by"},
        {"source": 1, "target": 26, "rel_name" : "created by"},
        {"source": 1, "target": 27, "rel_name" : "created by"},
        {"source": 1, "target": 28, "rel_name" : "created by"},
        {"source": 1, "target": 29, "rel_name" : "created by"},
        {"source": 1, "target": 30, "rel_name" : "created by"},
        {"source": 1, "target": 31, "rel_name" : "created by"},
        {"source": 1, "target": 32, "rel_name" : "created by"},
        {"source": 1, "target": 33, "rel_name" : "created by"},
        {"source": 1, "target": 34, "rel_name" : "created by"},
        {"source": 1, "target": 35, "rel_name" : "created by"},
        {"source": 1, "target": 36, "rel_name" : "created by"},
        {"source": 1, "target": 37, "rel_name" : "created by"},
        {"source": 1, "target": 38, "rel_name" : "created by"},
        {"source": 1, "target": 39, "rel_name" : "created by"},
        {"source": 1, "target": 40, "rel_name" : "created by"},
        {"source": 1, "target": 41, "rel_name" : "created by"},
        {"source": 1, "target": 42, "rel_name" : "created by"},
        {"source": 1, "target": 43, "rel_name" : "created by"},
        {"source": 1, "target": 44, "rel_name" : "created by"},
        {"source": 1, "target": 45, "rel_name" : "created by"},
        {"source": 1, "target": 46, "rel_name" : "created by"},
        {"source": 1, "target": 47, "rel_name" : "created by"},
        {"source": 1, "target": 48, "rel_name" : "created by"},
        {"source": 1, "target": 49, "rel_name" : "created by"},
        {"source": 1, "target": 50, "rel_name" : "created by"}
    ]
}
