


Sentence : 3.3 CONFIGURATION DATA
During initialization Babar loads and decrypts a set of configuration parameters which are
appended to the DLL's relocation section. ASCII strings within the configuration data reveal a lot
about Babar's intentions:

Office executable names and associated document abbreviations

excel.exe, winword.exe, powerpnt.exe, visio.exe, acrord32.exe, notepad.exe,
page | 7
wordpad.exe.txt, rtf, xls, xlsx, ppt, pptx, doc, docx, pdf, vsd

Softphone executable names
skype.exe, msnmsgr.exe, oovoo.exe, nimbuzz.exe, googletalk.exe, yahoomessenger.exe, x-

lite.exe

A version number

12075-01


Path and filename of the dump file
%COMMON_APPDATA%\MSI\update.msi


Path to the runtime data directory
%COMMON_APPDATA%\MSI


Two C&C server domains and request parameters
http://www.horizons-tourisme.com/_vti_bin/_vti_msc/bb/index.php
http://www.gezelimmi.com/wp-includes/misc/bb/index.php


Web browser executable names, including MSN messenger
iexplore.exe,firefox.exe,opera.exe,chrome.exe,Safari.exe,msnmsgr.exe


The name of the dropped implant
perf_585.dll


As could be seen already in binaries of related families, next to the hardcoded configuration data
Babar maintains a system specific runtime configuration. The additional configuration consists of a
set of local attributes and a set of values derived from the Windows environment. The attributes
are dynamically generated or requested at runtime and not stored in memory.
%USERHASH% - Hash of the login name
%USER% - Login name
%SEQ% - Assumed to be the sequence number of dump files created by Babar
%KID% - Assumed to be the ID of a subsequently infected process
%ID% - Value retrieved from hardcoded configuration
%SELFDIR% - Executable directory
%SELF% - Executable name
Values retrieved from Windows environment:
%APPDATA%
%USERPROFILE%
%WINDIR%
%COMMON_APPDATA%
%ALLUSERPROFILE%
%CommonProgramFiles%
page | 8
Output : 
{
    "nodes": [
        {"id": 1, "description": "Babar", "type": "ACTO"},
        {"id": 2, "description": "DLL's relocation section", "type": "EXEF"},
        {"id": 3, "description": "excel.exe", "type": "APPS"},
        {"id": 4, "description": "winword.exe", "type": "APPS"},
        {"id": 5, "description": "powerpnt.exe", "type": "APPS"},
        {"id": 6, "description": "visio.exe", "type": "APPS"},
        {"id": 7, "description": "acrord32.exe", "type": "APPS"},
        {"id": 8, "description": "notepad.exe", "type": "APPS"},
        {"id": 9, "description": "wordpad.exe.txt", "type": "DOCF"},
        {"id": 10, "description": "rtf", "type": "DOCF"},
        {"id": 11, "description": "xls", "type": "DOCF"},
        {"id": 12, "description": "xlsx", "type": "DOCF"},
        {"id": 13, "description": "ppt", "type": "DOCF"},
        {"id": 14, "description": "pptx", "type": "DOCF"},
        {"id": 15, "description": "doc", "type": "DOCF"},
        {"id": 16, "description": "docx", "type": "DOCF"},
        {"id": 17, "description": "pdf", "type": "DOCF"},
        {"id": 18, "description": "vsd", "type": "DOCF"},
        {"id": 19, "description": "skype.exe", "type": "APPS"},
        {"id": 20, "description": "msnmsgr.exe", "type": "APPS"},
        {"id": 21, "description": "oovoo.exe", "type": "APPS"},
        {"id": 22, "description": "nimbuzz.exe", "type": "APPS"},
        {"id": 23, "description": "googletalk.exe", "type": "APPS"},
        {"id": 24, "description": "yahoomessenger.exe", "type": "APPS"},
        {"id": 25, "description": "x-lite.exe", "type": "APPS"},
        {"id": 26, "description": "12075-01", "type": "TAMP"},
        {"id": 27, "description": "%COMMON_APPDATA%\\MSI\\update.msi", "type": "DOCF"},
        {"id": 28, "description": "%COMMON_APPDATA%\\MSI", "type": "SYSP"},
        {"id": 29, "description": "http://www.horizons-tourisme.com/_vti_bin/_vti_msc/bb/index.php", "type": "CCSH"},
        {"id": 30, "description": "http://www.gezelimmi.com/wp-includes/misc/bb/index.php", "type": "CCSH"},
        {"id": 31, "description": "iexplore.exe", "type": "APPS"},
        {"id": 32, "description": "firefox.exe", "type": "APPS"},
        {"id": 33, "description": "opera.exe", "type": "APPS"},
        {"id": 34, "description": "chrome.exe", "type": "APPS"},
        {"id": 35, "description": "Safari.exe", "type": "APPS"},
        {"id": 36, "description": "perf_585.dll", "type": "EXEF"},
        {"id": 37, "description": "%USERHASH%", "type": "REGI"},
        {"id": 38, "description": "%USER%", "type": "REGI"},
        {"id": 39, "description": "%SEQ%", "type": "REGI"},
        {"id": 40, "description": "%KID%", "type": "REGI"},
        {"id": 41, "description": "%ID%", "type": "REGI"},
        {"id": 42, "description": "%SELFDIR%", "type": "SYSP"},
        {"id": 43, "description": "%SELF%", "type": "REGI"},
        {"id": 44, "description": "%APPDATA%", "type": "SYSP"},
        {"id": 45, "description": "%USERPROFILE%", "type": "SYSP"},
        {"id": 46, "description": "%WINDIR%", "type": "SYSP"},
        {"id": 47, "description": "%ALLUSERPROFILE%", "type": "SYSP"},
        {"id": 48, "description": "%CommonProgramFiles%", "type": "SYSP"}
    ],
    "edges": [
        {"source": 1, "target": 2, "rel_name": "loads and decrypts"},
        {"source": 2, "target": 3, "rel_name": "contains"},
        {"source": 2, "target": 4, "rel_name": "contains"},
        {"source": 2, "target": 5, "rel_name": "contains"},
        {"source": 2, "target": 6, "rel_name": "contains"},
        {"source": 2, "target": 7, "rel_name": "contains"},
        {"source": 2, "target": 8, "rel_name": "contains"},
        {"source": 2, "target": 9, "rel_name": "contains"},
        {"source": 2, "target": 10, "rel_name": "contains"},
        {"source": 2, "target": 11, "rel_name": "contains"},
        {"source": 2, "target": 12, "rel_name": "contains"},
        {"source": 2, "target": 13, "rel_name": "contains"},
        {"source": 2, "target": 14, "rel_name": "contains"},
        {"source": 2, "target": 15, "rel_name": "contains"},
        {"source": 2, "target": 16, "rel_name": "contains"},
        {"source": 2, "target": 17, "rel_name": "contains"},
        {"source": 2, "target": 18, "rel_name": "contains"},
        {"source": 2, "target": 19, "rel_name": "contains"},
        {"source": 2, "target": 20, "rel_name": "contains"},
        {"source": 2, "target": 21, "rel_name": "contains"},
        {"source": 2, "target": 22, "rel_name": "contains"},
        {"source": 2, "target": 23, "rel_name": "contains"},
        {"source": 2, "target": 24, "rel_name": "contains"},
        {"source": 2, "target": 25, "rel_name": "contains"},
        {"source": 2, "target": 26, "rel_name": "contains"},
        {"source": 2, "target": 27, "rel_name": "contains"},
        {"source": 2, "target": 28, "rel_name": "contains"},
        {"source": 2, "target": 29, "rel_name": "communicates with"},
        {"source": 2, "target": 30, "rel_name": "communicates with"},
        {"source": 2, "target": 31, "rel_name": "contains"},
        {"source": 2, "target": 32, "rel_name": "contains"},
        {"source": 2, "target": 33, "rel_name": "contains"},
        {"source": 2, "target": 34, "rel_name": "contains"},
        {"source": 2, "target": 35, "rel_name": "contains"},
        {"source": 2, "target": 36, "rel_name": "drops"},
        {"source": 1, "target": 37, "rel_name": "uses"},
        {"source": 1, "target": 38, "rel_name": "uses"},
        {"source": 1, "target": 39, "rel_name": "uses"},
        {"source": 1, "target": 40, "rel_name": "uses"},
        {"source": 1, "target": 41, "rel_name": "uses"},
        {"source": 1, "target": 42, "rel_name": "uses"},
        {"source": 1, "target": 43, "rel_name": "uses"},
        {"source": 1, "target": 44, "rel_name": "retrieves from"},
        {"source": 1, "target": 45, "rel_name": "retrieves from"},
        {"source": 1, "target": 46, "rel_name": "retrieves from"},
        {"source": 1, "target": 47, "rel_name": "retrieves from"},
        {"source": 1, "target": 48, "rel_name": "retrieves from"}
    ]
}
