


Sentence : Additional components Unilay.DLL
This module provides a compatibility layer for accessing system API functions for Windows 9x. It redirects
Unicode ("W") variants of Windows API functions to corresponding ANSI variants by converting Unicode
string parameters to multi-byte strings and calling the respective ANSI API.
MD5 EF4405930E6071AE1F7F6FA7D4F3397D
Size 9 728 bytes
Compiled 2008.01.23 14:23:10 (GMT)
Format PE32 DLL, linker version 6.0 (Microsoft Visual C++ 6.0)
Exported functions (redirected to ANSI variants):
100017EF: CopyFileW
10001039: CreateDirectoryW
10001111: CreateFileW
100011B3: CreateProcessW
10001177: DeleteFileW
10001516: FindFirstChangeNoti�cationW
10001466: FindFirstFileExW
10001300: FindFirstFileW
100014C6: FindNextFileW
10001564: GetCurrentDirectoryW
1000188F: GetFileAttributesW
100016C6: GetStartupInfoW
10001602: GetSystemDirectoryW
10001664: GetWindowsDirectoryW
10001853: LoadLibraryW
1000178B: MoveFileExW
1000172D: MoveFileW
18 of 30 03/22/2015 10:21 PM
http://securelist.com/blog/research/69203/inside-t...
10001913: RegCreateKeyExW
100019F5: RegDeleteKeyW
10001DDF: RegDeleteValueW
10001A39: RegEnumKeyExW
10001BE2: RegEnumValueW
1000199B: RegOpenKeyExW
10001B23: RegQueryInfoKeyW
10001D57: RegSetValueExW
100010D5: RemoveDirectoryW
10001E81: SHGetFileInfoW
100015C6: SetCurrentDirectoryW
100018CB: SetFileAttributesW
10001E23: lstrcmpW
Output : 
{
    "nodes": [
        {"id": 1, "description": "Unilay.DLL", "type": "EXEF"},
        {"id": 2, "description": "MD5 EF4405930E6071AE1F7F6FA7D4F3397D", "type": "IOCS"},
        {"id": 3, "description": "9 728 bytes", "type": "TAMP"},
        {"id": 4, "description": "PE32 DLL, linker version 6.0 (Microsoft Visual C++ 6.0)", "type": "EXEF"},
        {"id": 5, "description": "CopyFileW", "type": "TTPS"},
        {"id": 6, "description": "CreateDirectoryW", "type": "TTPS"},
        {"id": 7, "description": "CreateFileW", "type": "TTPS"},
        {"id": 8, "description": "CreateProcessW", "type": "TTPS"},
        {"id": 9, "description": "DeleteFileW", "type": "TTPS"},
        {"id": 10, "description": "FindFirstChangeNotificationW", "type": "TTPS"},
        {"id": 11, "description": "FindFirstFileExW", "type": "TTPS"},
        {"id": 12, "description": "FindFirstFileW", "type": "TTPS"},
        {"id": 13, "description": "FindNextFileW", "type": "TTPS"},
        {"id": 14, "description": "GetCurrentDirectoryW", "type": "TTPS"},
        {"id": 15, "description": "GetFileAttributesW", "type": "TTPS"},
        {"id": 16, "description": "GetStartupInfoW", "type": "TTPS"},
        {"id": 17, "description": "GetSystemDirectoryW", "type": "TTPS"},
        {"id": 18, "description": "GetWindowsDirectoryW", "type": "TTPS"},
        {"id": 19, "description": "LoadLibraryW", "type": "TTPS"},
        {"id": 20, "description": "MoveFileExW", "type": "TTPS"},
        {"id": 21, "description": "MoveFileW", "type": "TTPS"},
        {"id": 22, "description": "RegCreateKeyExW", "type": "TTPS"},
        {"id": 23, "description": "RegDeleteKeyW", "type": "TTPS"},
