


Sentence : APPENDIX E – OTHER INFORMATION
```
Complete List of C&C Commands:
The following is a complete list of the available C&C commands:
|Encoded Command|Decoded Command|Description|
|---|---|---|
|'==gKg5XI+BmKqwUazRHUy92YlN3c'|ListProcess|List all running processes.|
|==gKg5XI+BmKqsUasxGUy92YlN3c|KillProcess|Kill a specified process.|
|==gKg5XI+BmKqIVduNUbkpCf|RunCmd|Run a specified command line.|
|==gKg5XI+BmK==gKF5WdttUZ5NnK|EnumKeys|Get the registry keys under a specified path.|
|==gKg5XI+BmK=oSRuVXbS92b0tUZ5NnK|EnumRootKeys|Get root registry keys.|
|==gKg5XI+BmK==gKHVGdSV2ZWFGb1VmK|GetRegValue|Get a specified registry value.|
|==gKg5XI+BmKqQVZs5WZ0pCP|~!~Telnet<|Connect remotely.|
|==gKg5XI+BmKqEEZkRUaypCP|AddDir<|Create a specified directory.|
|==gKg5XI+BmKqQUZsRUaypCP|DelDir|Delete a specified directory.|
|==gKg5XI+BmK==gKHVGdEJXa2V2cG9GbkVmc|GetDrivesFolder|Get the content of a specific folder.|
|==gKg5XI+BmKqcUZ0RkcpZXZzpCP|GetDrives<|Get the drive list.|
|==gKg5XI+BmKqcUZ0ZUasVmK|`GetFile|Send a specific file to C&C server.|
|==gKg5XI+BmK=oyUjNFavRnK|ScShot|Get a screenshot.|
|==gKg5XI+BmK==gKEVXbwBVYzNnK|DumpPass|Dump saved passwords.|
|==gKg5XI+BmK==gKEVXbwhUazRnK|DumpHist|Dump IE history.|
|==gKg5XI+BmK=oySllHTvdmK|KeyLog|Get latest key logging file content.|
|==gKg5XI+BmK=oyQslGci9WYyRGTvdmK|ClipboardLog|Get latest clipboard logging file content.|
|==gKg5XI+BmK==gKF5WdtdVauR2b3NnK|EnumWindows|List open windows.|
|==gKg5XI+BmK=oCRlxWZ0VmRpxWZzpCP|DeleteFiles|Delete specified files.|
|==gKg5XI+BmK=oyQvBXeQF2c0VmRpxWZzpCP|CopyPasteFiles|Copy and paste specified files.|
|==gKg5XI+BmK==gKDVHdQF2c0VmRpxWZzpCP|CutPasteFiles|Cut and paste specified files.|
|==gKg5XI+BmKqoVawpCP|Zip<|Compress a specified file.|
|==gKg5XI+BmK=oSVupVawpCP|UnZip|Decompress a specified file to folder.|
|==gKg5XI+BmKqwUazRHUy92YlN3c|ListProcess|List all running processes.|
|==gKg5XI+BmKq8Ecl5GUGpyW|OpenPF|Open a specified file.|
|==gKg5XI+BmK==gKqMEbvNXZGlGblpiK|CloseFile|Close a specified file.|
|==gKg5XI+BmK=oiRpxWZTVmbkpCP|FileSend<|Send a specified file.|
|'==gKg5XI+BmK=wTIqIVRSVlTqEiP|<!RERUN*!>|Restart_Explosive_ process.|
©2015 Check Point Software Technologies Ltd. All rights reserved  |  20
|==gKg5XI+BmK==APhoySJxETqEiP|<!KILL!>|Kill Explosive process.|
|---|---|---|
|==gKg5XI+BmK8EiKEVETqEiP|<!DEL!>|Kill_Explosive_ process and remove all traces.|
|==gKg5XI+BmK8oCYF9kRgpiP|<EOF>|End of transmitted file.|
|==gKg5XI+BmK=wTlqaqEiP|<!ok*!>|Confirm receipt of data.|
Table 11 - Complete list of C&C commands
Output : 
{
    "nodes": [
        {"id": 1, "description": "C&C server", "type": "CCSH"},
        {"id": 2, "description": "ListProcess", "type": "TTPS"},
        {"id": 3, "description": "KillProcess", "type": "TTPS"},
        {"id": 4, "description": "RunCmd", "type": "TTPS"},
        {"id": 5, "description": "EnumKeys", "type": "TTPS"},
        {"id": 6, "description": "EnumRootKeys", "type": "TTPS"},
        {"id": 7, "description": "GetRegValue", "type": "TTPS"},
        {"id": 8, "description": "Telnet", "type": "TTPS"},
        {"id": 9, "description": "AddDir", "type": "TTPS"},
        {"id": 10, "description": "DelDir", "type": "TTPS"},
        {"id": 11, "description": "GetDrivesFolder", "type": "TTPS"},
        {"id": 12, "description": "GetDrives", "type": "TTPS"},
        {"id": 13, "description": "GetFile", "type": "TTPS"},
        {"id": 14, "description": "ScShot", "type": "TTPS"},
        {"id": 15, "description": "DumpPass", "type": "TTPS"},
        {"id": 16, "description": "DumpHist", "type": "TTPS"},
        {"id": 17, "description": "KeyLog", "type": "TTPS"},
        {"id": 18, "description": "ClipboardLog", "type": "TTPS"},
        {"id": 19, "description": "EnumWindows", "type": "TTPS"},
        {"id": 20, "description": "DeleteFiles", "type": "TTPS"},
        {"id": 21, "description": "CopyPasteFiles", "type": "TTPS"},
        {"id": 22, "description": "CutPasteFiles", "type": "TTPS"},
        {"id": 23, "description": "Zip", "type": "TTPS"},
        {"id": 24, "description": "UnZip", "type": "TTPS"},
        {"id": 25, "description": "OpenPF", "type": "TTPS"},
        {"id": 26, "description": "CloseFile", "type": "TTPS"},
        {"id": 27, "description": "FileSend", "type": "TTPS"},
        {"id": 28, "description": "Restart_Explosive_process", "type": "TTPS"},
        {"id": 29, "description": "Kill Explosive process", "type": "TTPS"},
        {"id": 30, "description": "Kill_Explosive_process and remove all traces", "type": "TTPS"},
        {"id": 31, "description": "End of transmitted file", "type": "TTPS"},
        {"id": 32, "description": "Confirm receipt of data", "type": "TTPS"}
    ],
    "edges": [
        {"source": 1, "target": 2, "rel_name": "commands"},
        {"source": 1, "target": 3, "rel_name": "commands"},
        {"source": 1, "target": 4, "rel_name": "commands"},
        {"source": 1, "target": 5, "rel_name": "commands"},
        {"source": 1, "target": 6, "rel_name": "commands"},
        {"source": 1, "target": 7, "rel_name": "commands"},
        {"source": 1, "target": 8, "rel_name": "commands"},
        {"source": 1, "target": 9, "rel_name": "commands"},
        {"source": 1, "target": 10, "rel_name": "commands"},
        {"source": 1, "target": 11, "rel_name": "commands"},
        {"source": 1, "target": 12, "rel_name": "commands"},
        {"source": 1, "target": 13, "rel_name": "commands"},
        {"source": 1, "target": 14, "rel_name": "commands"},
        {"source": 1, "target": 15, "rel_name": "commands"},
        {"source": 1, "target": 16, "rel_name": "commands"},
        {"source": 1, "target": 17, "rel_name": "commands"},
        {"source": 1, "target": 18, "rel_name": "commands"},
        {"source": 1, "target": 19, "rel_name": "commands"},
        {"source": 1, "target": 20, "rel_name": "commands"},
        {"source": 1, "target": 21, "rel_name": "commands"},
        {"source": 1, "target": 22, "rel_name": "commands"},
        {"source": 1, "target": 23, "rel_name": "commands"},
        {"source": 1, "target": 24, "rel_name": "commands"},
        {"source": 1, "target": 25, "rel_name": "commands"},
        {"source": 1, "target": 26, "rel_name": "commands"},
        {"source": 1, "target": 27, "rel_name": "commands"},
        {"source": 1, "target": 28, "rel_name": "commands"},
