


Sentence : Artifacts and overlap with other APTs
Interestingly, some of the infrastructure used by the attackers appears to overlap (although around a
year apart) with a group tracked internally at Kaspersky Lab as PlayfullDragon (also known as "GREF");
while other aspects of the infrastructure overlap with a group known as Mirage or Vixen Panda.
For instance, one of the PlayfullDragon's Xslcmd backdoors described by our colleagues from FireEye
(md5: 6c3be96b65a7db4662ccaae34d6e72cc) beams to cdi.indiadigest[.]in:53 . One of the Hellsing
samples we analysed (md5: 0cbefd8cd4b9a36c791d926f84f10b7b) connects to the C&C server at
webmm[.]indiadigest[.]in . Although the hostname is not the same, the top level domain suggests some
kind of connection between the groups. Several other C&C subdomains on "indiadigest[.]in" include:
aac.indiadigest[.]in
ld.indiadigest[.]in
longc.indiadigest[.]in
Another overlap we observed is with an APT known as Cycldek or Goblin Panda. Some of the Hellsing
samples we analysed in this operation (e.g. md5: a91c9a2b1bc4020514c6c49c5ff84298) communicate
with the server webb[.]huntingtomingalls[.]com, using a protocol specific to the Cycldek backdoors
(binup.asp/textup.asp/online.asp).
It appears that the Hellsing developer started with the Cycldek sources and worked together with the
operators from other APT groups. Nevertheless, it is sufficiently different to warrant classification as a
stand­alone operation.
So, where does the Hellsing name come from? One of the samples we analysed (md5:
036e021e1b7f61cddfd294f791de7ea2) appears to have been compiled in a rush and the attacker forgot
to remove the debug information. One can see the project name is Hellsing and the malware is called
"msger":
Of course, Hellsing can have many different meanings, including the famous doctor from Bram Stoker's
Dracula. However, according to Wikipedia, "Hellsing ( ヘルシング Herushingu) is also a Japanese mang
a series written and illustrated by Kouta Hirano. It first premiered in Young King Ours in 1997 and ended
in September 2008" .
https://www.evernote.com/shard/s170/nl/19724058/7adb22e5-7627-4947-9ded-f44b29ceed53/?csrfBusterToken=U%3D12cf71a%… 6/10
4/15/2015 The Chronicles of the Hellsing APT: the Empire Strikes Back - Securelist
The Hellsing series chronicles the efforts of the mysterious and secret Hellsing Organization, as it
combats vampires, ghouls, and other supernatural foes; which makes it perhaps an appropriate name
for our group.
In addition to the Hellsing/msger malware, we've identified a second generation of Trojan samples which
appear to be called "xweber" by the attackers:
"Xweber" seems to be the more recent Trojan, taking into account compilation timestamps. All the
"msger" samples we have seen appear to have been compiled in 2012. The "Xweber" samples are from
2013 and from 2014, indicating that at some point during 2013 the "msger" malware project was
renamed and/or integrated into "Xweber".
During our investigation we've observed the Hellsing APT using both the "Xweber" and "msger"
backdoors in their attacks, as well as other tools named "xrat", "clare", "irene" and "xKat".
Output : 
{
    "nodes": [
        {"id": 1, "description": "PlayfullDragon", "type": "ACTO"},
        {"id": 2, "description": "Mirage", "type": "ACTO"},
        {"id": 3, "description": "Vixen Panda", "type": "ACTO"},
        {"id": 4, "description": "Xslcmd backdoor", "type": "EXEF"},
        {"id": 5, "description": "6c3be96b65a7db4662ccaae34d6e72cc", "type": "IOCS"},
        {"id": 6, "description": "cdi.indiadigest[.]in:53", "type": "CCSH"},
        {"id": 7, "description": "Hellsing sample", "type": "EXEF"},
        {"id": 8, "description": "0cbefd8cd4b9a36c791d926f84f10b7b", "type": "IOCS"},
        {"id": 9, "description": "webmm[.]indiadigest[.]in", "type": "CCSH"},
        {"id": 10, "description": "aac.indiadigest[.]in", "type": "CCSH"},
        {"id": 11, "description": "ld.indiadigest[.]in", "type": "CCSH"},
        {"id": 12, "description": "longc.indiadigest[.]in", "type": "CCSH"},
        {"id": 13, "description": "Cycldek", "type": "ACTO"},
        {"id": 14, "description": "Goblin Panda", "type": "ACTO"},
        {"id": 15, "description": "a91c9a2b1bc4020514c6c49c5ff84298", "type": "IOCS"},
        {"id": 16, "description": "webb[.]huntingtomingalls[.]com", "type": "CCSH"},
        {"id": 17, "description": "binup.asp", "type": "URLS"},
        {"id": 18, "description": "textup.asp", "type": "URLS"},
        {"id": 19, "description": "online.asp", "type": "URLS"},
        {"id": 20, "description": "036e021e1b7f61cddfd294f791de7ea2", "type": "IOCS"},
        {"id": 21, "description": "msger", "type": "EXEF"},
        {"id": 22, "description": "Xweber", "type": "EXEF"},
        {"id": 23, "description": "xrat", "type": "EXEF"},
        {"id": 24, "description": "clare", "type": "EXEF"},
        {"id": 25, "description": "irene", "type": "EXEF"},
        {"id": 26, "description": "xKat", "type": "EXEF"}
    ],
    "edges": [
        {"source": 1, "target": 4, "rel_name": "uses"},
        {"source": 4, "target": 5, "rel_name": "has hash"},
        {"source": 4, "target": 6, "rel_name": "connects to"},
        {"source": 7, "target": 8, "rel_name": "has hash"},
        {"source": 7, "target": 9, "rel_name": "connects to"},
        {"source": 13, "target": 15, "rel_name": "uses"},
        {"source": 15, "target": 16, "rel_name": "connects to"},
        {"source": 16, "target": 17, "rel_name": "uses protocol"},
        {"source": 16, "target": 18, "rel_name": "uses protocol"},
        {"source": 16, "target": 19, "rel_name": "uses protocol"},
        {"source": 7, "target": 20, "rel_name": "has hash"},
        {"source": 20, "target": 21, "rel_name": "is part of"},
        {"source": 21, "target": 22, "rel_name": "evolves into"},
        {"source": 22, "target": 23, "rel_name": "related to"},
        {"source": 22, "target": 24, "rel_name": "related to"},
        {"source": 22, "target": 25, "rel_name": "related to"},
        {"source": 22, "target": 26, "rel_name": "related to"}
    ]
}
