


Sentence : The main module supports 48 commands, which the attackers can use to control the victim machine #NaikonAPT
Here is the complete list of commands:
0 CMD_MAIN_INFO
1 CMD_PROCESS_REFRESH
2 CMD_PROCESS_NAME
3 CMD_PROCESS_KILL
4 CMD_PROCESS_MODULE
5 CMD_DRIVE_REFRESH
6 CMD_DIRECTORY
7 CMD_DIRECTORY_CREATE
8 CMD_DIRECTORY_CREATE_HIDDEN
9 CMD_DIRECTORY_DELETE
10 CMD_DIRECTORY_RENAME
11 CMD_DIRECOTRY_DOWNLOAD
12 CMD_FILE_REFRESH
13 CMD_FILE_DELETE
14 CMD_FILE_RENAME
15 CMD_FILE_EXECUTE_NORMAL
16 CMD_FILE_EXECUTE_HIDDEN
17 CMD_FILE_EXECUTE_NORMAL_CMD
18 CMD_FILE_EXECUTE_HIDDEN_CMD
19 CMD_FILE_UPLOAD
20 CMD_FILE_DOWNLOAD
21 CMD_WINDOWS_INFO
22 CMD_WINDOWS_MESSAGE
23 CMD_SHELL_OPEN
24 CMD_SHELL_CLOSE
25 CMD_SHELL_WRITE
26 CMD_SERVICE_REFRESH
27 CMD_SERVICE_CONTROL
28 CMD_PROGRAM_INFO
29 CMD_UNINSTALL_PROGRAM
30 CMD_REGESTRY_INFO
31 CMD_ADD_AUTO_START
32 CMD_MY_PLUGIN
33 CMD_3RD_PLUGIN
34 CMD_REG_CREATEKEY
35 CMD_REG_DELETEKEY
36 CMD_REG_SETVALUE
37 CMD_REG_DELETEVALUE
38 CMD_SELF_KILL
39 CMD_SELF_RESTART
40 CMD_SELF_CONFIG
41 CMD_SELF_UPDATE
42 CMD_SERVER_INFO
43 CMD_INSTALL_SERVICE
44 CMD_FILE_DOWNLOAD2
45 CMD_RESET
46 CMD_CONNECTION_TABLE
50 CMD_HEART_BEAT
Several modifications of the main module exist. There are no
fundamental differences between modifications; it’s just that extra
features get added to the latest versions, such as compression
and encryption of transmitted data, or the piecemeal download of
large files.
Aug 23
d085ba82824c1e61e93e113a705b8e9a 118272
b4a8dc9eb26e727eafb6c8477963829c 140800
172fd9cce78de38d8cbcad605e3d6675 118784
d74a7e7a4de0da503472f1f051b68745 190464
93e84075bef7a11832d9c5aa70135dc6 154624
Output : 
{
    "nodes": [
        {"id": 1, "description": "The main module", "type" : "EXEF"},
        {"id": 2, "description": "#NaikonAPT", "type" : "ACTO"},
        {"id": 3, "description": "victim machine", "type" : "SYSP"},
        {"id": 4, "description": "0 CMD_MAIN_INFO", "type" : "TTPS"},
        {"id": 5, "description": "1 CMD_PROCESS_REFRESH", "type" : "TTPS"},
        {"id": 6, "description": "2 CMD_PROCESS_NAME", "type" : "TTPS"},
        {"id": 7, "description": "3 CMD_PROCESS_KILL", "type" : "TTPS"},
        {"id": 8, "description": "4 CMD_PROCESS_MODULE", "type" : "TTPS"},
        {"id": 9, "description": "5 CMD_DRIVE_REFRESH", "type" : "TTPS"},
        {"id": 10, "description": "6 CMD_DIRECTORY", "type" : "TTPS"},
        {"id": 11, "description": "7 CMD_DIRECTORY_CREATE", "type" : "TTPS"},
        {"id": 12, "description": "8 CMD_DIRECTORY_CREATE_HIDDEN", "type" : "TTPS"},
        {"id": 13, "description": "9 CMD_DIRECTORY_DELETE", "type" : "TTPS"},
        {"id": 14, "description": "10 CMD_DIRECTORY_RENAME", "type" : "TTPS"},
        {"id": 15, "description": "11 CMD_DIRECOTRY_DOWNLOAD", "type" : "TTPS"},
        {"id": 16, "description": "12 CMD_FILE_REFRESH", "type" : "TTPS"},
        {"id": 17, "description": "13 CMD_FILE_DELETE", "type" : "TTPS"},
        {"id": 18, "description": "14 CMD_FILE_RENAME", "type" : "TTPS"},
        {"id": 19, "description": "15 CMD_FILE_EXECUTE_NORMAL", "type" : "TTPS"},
        {"id": 20, "description": "16 CMD_FILE_EXECUTE_HIDDEN", "type" : "TTPS"},
        {"id": 21, "description": "17 CMD_FILE_EXECUTE_NORMAL_CMD", "type" : "TTPS"},
        {"id": 22, "description": "18 CMD_FILE_EXECUTE_HIDDEN_CMD", "type" : "TTPS"},
        {"id": 23, "description": "19 CMD_FILE_UPLOAD", "type" : "TTPS"},
        {"id": 24, "description": "20 CMD_FILE_DOWNLOAD", "type" : "TTPS"},
        {"id": 25, "description": "21 CMD_WINDOWS_INFO", "type" : "TTPS"},
        {"id": 26, "description": "22 CMD_WINDOWS_MESSAGE", "type" : "TTPS"},
        {"id": 27, "description": "23 CMD_SHELL_OPEN", "type" : "TTPS"},
        {"id": 28, "description": "24 CMD_SHELL_CLOSE", "type" : "TTPS"},
