


Sentence : Conclusion
The actors behind the CozyDuke framework are highly sophisticated, motivated, and have become
increasingly bold in their campaigns.
We recommend that other security practitioners review the included Indicators of Compromise (IoCs) to
ensure they have not been targets in this campaign, and add the appropriate security controls to prevent
future attacks.
This group is reliant on social engineering, and thus, user education remains of paramount importance.
Palo Alto Networks customers using WildFire were protected from this campaign. All known elements of
this campaign have been accurately identified by WildFire as malicious.
IOCs
|domain|ff.whitebirchpaper[.]com|
|---|---|
|domain|visionresearch[.]com|
|domain|betawebservices.ntnonline[.]com|
|domain|staff.shasta[.]com|
|hostname|extranet.qualityplanning[.]com|
|hostname|secure.hgl[.]com|
|hostname|illuminatistudios[.]net|
|ip|103.254.16.168|
|ip|103.226.132.7|
|Col1|Col2|
|---|---|
|ip|122.228.193.115|
|md5|01039a95e0a14767784acc8f07035935|
|md5|0f9534b63cb7af1e3aa34839d7d6e632|
|md5|2e64131c0426a18c1c363ec69ae6b5f2|
|md5|70f5574e4e7ad360f4f5c2117a7a1ca7|
|md5|1dd593ad084e1526c8facce834b0e124|
|md5|42ffc84c6381a18b1f6d000b94c74b09|
|md5|719cf63a3922953ceaca6fb4dbed6584|
|md5|f415470b9f0edc1298b1f6ae75dfaf31|
|md5|ca770a4c9881afcd610aad30aa53f651|
|md5|24083e6186bc773cd9c2e70a49309763|
|md5|b0a9a175e2407352214b2d005253bc0c|
|md5|b55628a605a5dfb5005c44220ae03b8a|
|md5|26bd36cc57e30656363ca89910579f63|
|md5|a9c045c401afb9766e2ca838dc6f47a4|
|md5|f8cb10b2ee8af6c5555e9cf3701b845f|
|md5|c8b49b42e6ebb6b977ce7001b6bd96c8|
|md5|030da7510113c28ee68df8a19c643bb0|
|md5|e07ef8ffe965ec8b72041ddf9527cac4|
|md5|4cbd9a0832dcf23867b092de37c10d9d|
|md5|3a04a5d7ed785daa16f4ebfd3acf0867|
|md5|9018fa0826f237342471895f315dbf39|
|md5|98613ecb3afde5fc48ca4204f8363f1d|
|md5|e00bf9b8261410744c10ae3fe2ce9049|
|md5|51ea28f4f3fa794d5b207475897b1eef|
|md5|3195110045f64a3c83fc3e043c46d253|
|md5|1dd593ad084e1526c8facce834b0e124|
|url|connectads[.]com|
|url|kane-consulting[.]net|
|url|edadmin.kearsney[.]com|
|url|redbluffchamber[.]com|
Sources
[1] https://securelist.com/blog/research/69731/the-cozyduke-apt/
[2] http://www.symantec.com/connect/blogs/forkmeiamfamous-seaduke-latest-weapon-duke-armory
[3] http://www.theregister.co.uk/2015/04/22/cozyduke_hackers_white_house_state_dept_malware/
[4] http://researchcenter.paloaltonetworks.com/2015/07/unit-42-technical-analysis-seaduke/
Output : 
{
    "nodes": [
        {"id": 1, "description": "CozyDuke framework actors", "type" : "ACTO"},
        {"id": 2, "description": "Indicators of Compromise (IoCs)", "type" : "IOCS"},
        {"id": 3, "description": "Palo Alto Networks customers using WildFire", "type" : "APPS"},
        {"id": 4, "description": "ff.whitebirchpaper[.]com", "type" : "CCSH"},
        {"id": 5, "description": "visionresearch[.]com", "type" : "CCSH"},
        {"id": 6, "description": "betawebservices.ntnonline[.]com", "type" : "CCSH"},
        {"id": 7, "description": "staff.shasta[.]com", "type" : "CCSH"},
        {"id": 8, "description": "extranet.qualityplanning[.]com", "type" : "CCSH"},
        {"id": 9, "description": "secure.hgl[.]com", "type" : "CCSH"},
        {"id": 10, "description": "illuminatistudios[.]net", "type" : "CCSH"},
        {"id": 11, "description": "103.254.16.168", "type" : "CCSH"},
        {"id": 12, "description": "103.226.132.7", "type" : "CCSH"},
        {"id": 13, "description": "122.228.193.115", "type" : "CCSH"},
        {"id": 14, "description": "01039a95e0a14767784acc8f07035935", "type" : "IOCS"},
        {"id": 15, "description": "0f9534b63cb7af1e3aa34839d7d6e632", "type" : "IOCS"},
        {"id": 16, "description": "2e64131c0426a18c1c363ec69ae6b5f2", "type" : "IOCS"},
        {"id": 17, "description": "70f5574e4e7ad360f4f5c2117a7a1ca7", "type" : "IOCS"},
        {"id": 18, "description": "1dd593ad084e1526c8facce834b0e124", "type" : "IOCS"},
        {"id": 19, "description": "42ffc84c6381a18b1f6d000b94c74b09", "type" : "IOCS"},
        {"id": 20, "description": "719cf63a3922953ceaca6fb4dbed6584", "type" : "IOCS"},
        {"id": 21, "description": "f415470b9f0edc1298b1f6ae75dfaf31", "type" : "IOCS"},
        {"id": 22, "description": "ca770a4c9881afcd610aad30aa53f651", "type" : "IOCS"},
        {"id": 23, "description": "24083e6186bc773cd9c2e70a49309763", "type" : "IOCS"},
        {"id": 24, "description": "b0a9a175e2407352214b2d005253bc0c", "type" : "IOCS"},
        {"id": 25, "description": "b55628a605a5dfb5005c44220ae03b8a", "type" : "IOCS"},
        {"id": 26, "description": "26bd36cc57e30656363ca89910579f63", "type" : "IOCS"},
        {"id": 27, "description": "a9c045c401afb9766e2ca838dc6f47a4", "type" : "IOCS"},
        {"id": 28, "description": "f8cb10b2ee8af6c5555e9cf3701b845f", "type" : "IOCS"},
        {"id": 29, "description": "c8b49b42e6ebb6b977ce7001b6bd96c8", "type" : "IOCS"},
        {"id": 30, "description": "030da7510113c28ee68df8a19c643bb0", "type" : "IOCS"},
        {"id": 31, "description": "e07ef8ffe965ec8b72041ddf9527cac4", "type" : "IOCS"},
        {"id": 32, "description": "4cbd9a0832dcf23867b092de37c10d9d", "type" : "IOCS"},
        {"id": 33, "description": "3a04a5d7ed785daa16f4ebfd3acf0867", "type" : "IOCS"},
        {"id": 34, "description": "9018fa0826f237342471895f315dbf39", "type" : "IOCS"},
        {"id": 35, "description": "98613ecb3afde5fc48ca4204f8363f1d", "type" : "IOCS"},
        {"id": 36, "description": "e00bf9b8261410744c10ae3fe2ce9049", "type" : "IOCS"},
        {"id": 37, "description": "51ea28f4f3fa794d5b207475897b1eef", "type" : "IOCS"},
        {"id": 38, "description": "3195110045f64a3c83fc3e043c46d253", "type" : "IOCS"},
        {"id": 39, "description": "connectads[.]com", "type" : "URLS"},
        {"id": 40, "description": "kane-consulting[.]net", "type" : "URLS"},
        {"id": 41, "description": "edadmin.kearsney[.]com", "type" : "URLS"},
        {"id": 42, "description": "redbluffchamber[.]com", "type" : "URLS"}
    ],
    "edges": [
        {"source": 1, "target": 2, "rel_name" : "uses"},
        {"source": 2, "target": 3, "rel_name" : "detected by"},
        {"source": 2, "target": 4, "rel_name" : "contains"},
        {"source": 2, "target": 5, "rel_name" : "contains"},
        {"source": 2, "target": 6, "rel_name" : "contains"},
        {"source": 2, "target": 7, "rel_name" : "contains"},
        {"source": 2, "target": 8, "rel_name" : "contains"},
        {"source": 2, "target": 9, "rel_name" : "contains"},
        {"source": 2, "target": 10, "rel_name" : "contains"},
        {"source": 2, "target": 11, "rel_name" : "contains"},
        {"source": 2, "target": 12, "rel_name" : "contains"},
        {"source": 2, "target": 13, "rel_name" : "contains"},
        {"source": 2, "target": 14, "rel_name" : "contains"},
        {"source": 2, "target": 15, "rel_name" : "contains"},
        {"source": 2, "target": 16, "rel_name" : "contains"},
        {"source": 2, "target": 17, "rel_name" : "contains"},
        {"source": 2, "target": 18, "rel_name" : "contains"},
        {"source": 2, "target": 19, "rel_name" : "contains"},
        {"source": 2, "target": 20, "rel_name" : "contains"},
        {"source": 2, "target": 21, "rel_name" : "contains"},
        {"source": 2, "target": 22, "rel_name" : "contains"},
        {"source": 2, "target": 23, "rel_name" : "contains"},
        {"source": 2, "target": 24, "rel_name" : "contains"},
        {"source": 2, "target": 25, "rel_name" : "contains"},
        {"source": 2, "target": 26, "rel_name" : "contains"},
        {"source": 2, "target": 27, "rel_name" : "contains"},
        {"source": 2, "target": 28, "rel_name" : "contains"},
        {"source": 2, "target": 29, "rel_name" : "contains"},
        {"source": 2, "target": 30, "rel_name" : "contains"},
        {"source": 2, "target": 31, "rel_name" : "contains"},
        {"source": 2, "target": 32, "rel_name" : "contains"},
        {"source": 2, "target": 33, "rel_name" : "contains"},
        {"source": 2, "target": 34, "rel_name" : "contains"},
        {"source": 2, "target": 35, "rel_name" : "contains"},
        {"source": 2, "target": 36, "rel_name" : "contains"},
        {"source": 2, "target": 37, "rel_name" : "contains"},
        {"source": 2, "target": 38, "rel_name" : "contains"},
        {"source": 2, "target": 39, "rel_name" : "contains"},
        {"source": 2, "target": 40, "rel_name" : "contains"},
        {"source": 2, "target": 41, "rel_name" : "contains"},
        {"source": 2, "target": 42, "rel_name" : "contains"}
    ]
}
