


Sentence : Conclusion
While DELoader is a relatively new malware, the findings in this research demonstrate that the threat actor
behind it has actually been around for quite some time, and has left a substantial amount of fingerprints over
the Internet.
Historical information shows that the individual or group using the name “Aleksandr” have been involved in
bank information theft not only of German-speaking users, but have also targeted Australian users. It is
possible that DELoader may be used to aid in similar purposes in the future.
We are unable to confirm the legitimacy of “Aleksandr’s” registrant details, or if he (or they) is working with a
group. We may, however, have an idea on where “Aleksandr” is located.
https://blog.fortinet.com/2016/06/21/the-curious-case-of-an-unknown-trojan-targeting-german-speaking-users 8/12
2016/6/24 Fortinet Blog
Earlier, we showed that the geolocations of DELoader victims were concentrated in Germany and Austria.
You might have also noticed that one of the IPs deviated from that area – it resolved to Kiev,Ukraine :
This is odd since German is not a common language in Ukraine. So we theorized that this anomalous event
may be due to someone testing the DELoader.
To test our theory, we looked up the IP in the C&C logs to find more information. Can you find the interesting
string in the IP’s computer name below?
High five if you found “ALEXANDR”.
-= FortiGuard Lion Team =
IOCs
DELoader SHA-256 hashes (all detected as W32/DELoader.A!tr):
72faed0bc66afe1f42bd7e75b7ea26e0596effac65f67c0ac367a84ec4858891
5d759710686db2c5b81c7125aacf70e252de61ab360d95e46cee8a9011c5693f
c16281c83378a597cbc4b01410f997e45b89c5d06efada8000ff79c3a24d63ca
171693ab13668c6004a1e08b83c9877a55f150aaa6d8a624c3f8ffc712b22f0b
5afee15a022fcdb12cc791dd02db0ec6beb2e9152b312b2251f2b8ecfe62e03c
103c6f425cfcd5eb935136f8c4ce51b9556974545bc6b7947039405164d46b0d
cec73c7b54c290b297a713e0eb07c7c2d822cc67ed61b9981256464273d63892
https://blog.fortinet.com/2016/06/21/the-curious-case-of-an-unknown-trojan-targeting-german-speaking-users 9/12
2016/6/24 Fortinet Blog
Domains registered by sir777alex@outlook.com:
yberprojects22017.info
masterhost8981.asia
nov15mailmarketing.in
auspostresponse22.asia
goodwinn8.asia
mastehost12312.asia
masterhost1333.asia
marketingmas.in.net
remembermetoday4.asia
startupproject33676.asia
bestbrowser-2015.biz
marketing5050.asia
marketingking878.asia
yidckntbrmhuuhmq.com
resdomactivationa.asia
ukcompanymarketing.asia
goodvin77787.in
jajajakala8212.asia
masterhost122133.asia
masterj.in
lalalababla.asia
responder201922.asia
cyberprojects2727.info
super-sexy-girl2015.net
jxsraxhlccokkrob.com
mastehost88832.asia
masterlin888.pw
mamba777.in
copolsox.us
10cyberprojects2016.asia
startupproject336.asia
masterhost122133.asia
by Floser Bacurio and Roland Dela Paz | Jun 21, 2016 | Filed in: Security Research (/category/security-research)
Tags: zeus banking trojan (/tag/zeus-banking-trojan) zbot (/tag/zbot) bank fraud (/tag/bank-fraud)
DELoader (/tag/deloader) Android Marcher (/tag/android-marcher)
https://blog.fortinet.com/2016/06/21/the-curious-case-of-an-unknown-trojan-targeting-german-speaking-users 10/12
2016/6/24 Fortinet Blog
 Next Post: Industries Perspective: Financial Services, Looking Ahead For Cybersecurity (/2016/06/
 Previous Post: Securing Critical Infrastructures (/2016/06/21/securing-critical-infrastructures)
Output : 
{
    "nodes": [
        {"id": 1, "description": "DELoader", "type" : "APPS"},
        {"id": 2, "description": "Aleksandr", "type" : "ACTO"},
        {"id": 3, "description": "German-speaking users", "type" : "COUN"},
        {"id": 4, "description": "Australian users", "type" : "COUN"},
        {"id": 5, "description": "https://blog.fortinet.com/2016/06/21/the-curious-case-of-an-unknown-trojan-targeting-german-speaking-users", "type" : "URLS"},
        {"id": 6, "description": "Germany and Austria", "type" : "COUN"},
        {"id": 7, "description": "Kiev, Ukraine", "type" : "COUN"},
        {"id": 8, "description": "sir777alex@outlook.com", "type" : "MAIL"},
        {"id": 9, "description": "yberprojects22017.info", "type" : "CCSH"},
        {"id": 10, "description": "masterhost8981.asia", "type" : "CCSH"},
        {"id": 11, "description": "nov15mailmarketing.in", "type" : "CCSH"},
        {"id": 12, "description": "auspostresponse22.asia", "type" : "CCSH"},
        {"id": 13, "description": "goodwinn8.asia", "type" : "CCSH"},
        {"id": 14, "description": "mastehost12312.asia", "type" : "CCSH"},
        {"id": 15, "description": "masterhost1333.asia", "type" : "CCSH"},
        {"id": 16, "description": "marketingmas.in.net", "type" : "CCSH"},
        {"id": 17, "description": "remembermetoday4.asia", "type" : "CCSH"},
        {"id": 18, "description": "startupproject33676.asia", "type" : "CCSH"},
        {"id": 19, "description": "bestbrowser-2015.biz", "type" : "CCSH"},
        {"id": 20, "description": "marketing5050.asia", "type" : "CCSH"},
        {"id": 21, "description": "marketingking878.asia", "type" : "CCSH"},
        {"id": 22, "description": "yidckntbrmhuuhmq.com", "type" : "CCSH"},
        {"id": 23, "description": "resdomactivationa.asia", "type" : "CCSH"},
        {"id": 24, "description": "ukcompanymarketing.asia", "type" : "CCSH"},
        {"id": 25, "description": "goodvin77787.in", "type" : "CCSH"},
        {"id": 26, "description": "jajajakala8212.asia", "type" : "CCSH"},
        {"id": 27, "description": "masterhost122133.asia", "type" : "CCSH"},
        {"id": 28, "description": "masterj.in", "type" : "CCSH"},
        {"id": 29, "description": "lalalababla.asia", "type" : "CCSH"},
        {"id": 30, "description": "responder201922.asia", "type" : "CCSH"},
        {"id": 31, "description": "cyberprojects2727.info", "type" : "CCSH"},
        {"id": 32, "description": "super-sexy-girl2015.net", "type" : "CCSH"},
        {"id": 33, "description": "jxsraxhlccokkrob.com", "type" : "CCSH"},
        {"id": 34, "description": "mastehost88832.asia", "type" : "CCSH"},
        {"id": 35, "description": "masterlin888.pw", "type" : "CCSH"},
        {"id": 36, "description": "mamba777.in", "type" : "CCSH"},
        {"id": 37, "description": "copolsox.us", "type" : "CCSH"},
        {"id": 38, "description": "10cyberprojects2016.asia", "type" : "CCSH"},
        {"id": 39, "description": "startupproject336.asia", "type" : "CCSH"},
        {"id": 40, "description": "72faed0bc66afe1f42bd7e75b7ea26e0596effac65f67c0ac367a84ec4858891", "type" : "IOCS"},
        {"id": 41, "description": "5d759710686db2c5b81c7125aacf70e252de61ab360d95e46cee8a9011c5693f", "type" : "IOCS"},
        {"id": 42, "description": "c16281c83378a597cbc4b01410f997e45b89c5d06efada8000ff79c3a24d63ca", "type" : "IOCS"},
