Indicators of compromise
Backdoor.Remsec hashes
MD5 SHA256
2a8785bf45f4f03c10cd929bb0685c2d 6c8c93069831a1b60279d2b316fd36bffa0d4c407068dbef81b8e2fe8fd8e8cd
171f39bd2f79963b5ec2b588b42da034 d629aa328fef1bd3c390751575f65d2f568b4b512132d77ab3693709ae2d5c84
44879e5240fbe41c909c59abdcc678bc 9035a1e71c87620ead00d47c9db3768b52197703f124f097fa38dd6bf8e2edc8
bf208df25db6ef67639765b2f0fc2c8c 36b74acba714429b07ab2205ee9fc13540768d7d8d9d5b2c9553c44ea0b8854f
beb2cc1694d89354a062b04b27811099 0f8af75782bb7cf0d2e9a78af121417ad3c0c62d8b86c8d2566cdb0f23e15cea
113050c3e3140bf631d186d78d4b1dc0 bde264ceb211089f6a9c8cfbaf3974bf3d7bf4843d22186684464152c432f8a5
546a2ebb0100ebff6c150fae49b87187 4a15dfab1d150f2f19740782889a8c144bd935917744f20d16b1600ae5c93d44
7b8a3bf6fd266593db96eddaa3fae6f9 3782b63d7f6f688a5ccb1b72be89a6a98bb722218c9f22402709af97a41973c8
cf6c049bd7cd9e04cc365b73f3f6098e 6b06522f803437d51c15832dbd6b91d8d8b244440b4d2f09bd952f335351b06d
0886ace08961e71e5a572698307efdee 96e6b2cedaf2840b1939a9128751aec0f1ac724df76970bc744e3043281d3afd
7c3eecfb5174ca5cb1e03b8bf4b06f19 02a9b52c88199e5611871d634b6188c35a174944f75f6d8a2110b5b1c5e60a48
0a0948d871ef5a3006c0ab2997ad330e ab8181ae5cc205f1d3cae00d8b34011e47b735a553bd5a4f079f03052b74a06d
1d9d7d05ab7c68bdc257afb1c086fb88 c8f95bf8a76ff124cc1d7a8439beff360d0eb9c0972d42a8684c3bd4e91c6600
1f316e14e773ca0f468d0d160b5d0307 9572624b6026311a0e122835bcd7200eca396802000d0777dba118afaaf9f2a9
Security Response — August 8, 2016 — Copyright © 2016 Symantec Page 8
