


Sentence : Filenames
Most of the ProjectSauron DLL filenames seem to have been generated automatically by multiplication of
several prefixes, roots and suffixes in a random order.
%System%\rpchlpr.exe
%System%\symnet32.dll
%System%\rdiskman.dll
%System%\rseceng.dll
%System%\msprtssp.dll
%System%\ncompc.dll
%System%\rdeskm.dll
%System%\dpsf.dll
%System%\nsecf.dll
%System%\rdesk.dll
%System%\dpsloc.dll
%System%\ddeskm.dll
%System%\rdisksup.dll
%System%\rcompf.dll
%System%\ncompsup.dll
%System%\rdiskf.dll
%System%\iseceng.dll
%System%\msasspc.dll
%System%\wpsloc.dll
%System%\wpackpwf.dll
%System%\rcnfm.dll
%Temp%\kavupdate.exe
%Temp%\kavupd.exe
For any inquiries, contact intelreports@kaspersky.com Page 2 of 6
The ProjectSauron APT. Indicators of Compromise
%Temp%\klnupd.exe
%System%\hptcpprnt.dll
%System%\rdeskf.dll
%System%\ncnfloc.dll
%System%\msaosspc.dll
%System%\ndiskloc.dll
%System%\mperfcl.dll
%System%\polsec.dll
%System%\sxsmgrkbd.dll
%System%\cfgbaseprt.dll
%System%\seccertapi.dll
%System%\krbsec.dll
%System%\prnpapi.dll
%System%\ndisk.dll
%System%\ndisksup.dll
%System%\rdiskloc.dll
%System%\pngmon.dll
%System%\kavsec64.dll
%System%\wlseccomm.dll
%System%\rcnfsys.dll
%System%\wpackshim.dll
%System%\ncnfsys.dll
%System%\sxsapifeed.dll
%System%\wmupdsvc.dll
%System%\dpsf.dll
%System%\compc.dll
%System%\rdiskf.dll
%System%\compman.dll
%System%\cnfsys.dll
%System%\isecf.dll
%System%\klsec.dll
%System%\nagent.exe
%System%\rpsf.dll
%System%\tv_prntx64.dll
%System%\wdesksys.dll
%System%\dsecc.dll
%System%\dcompf.dll
%System%\dsecman.dll
%System%\isecc.dll
%System%\rcompc.dll
%System%\rcnfloc.dll
%System%\rdisk.dll
%System%\dcompman.dll
%System%\npsloc.dll
%System%\nsecc.dll
%System%\wcprts32.dll
%System%\rpsloc.dll
For any inquiries, contact intelreports@kaspersky.com Page 3 of 6
The ProjectSauron APT. Indicators of Compromise
%System%\rsecman.dll
%System%\mstimed.dll
%System%\dcompsup.dll
%System%\compsup.dll
%System%\ncompman.dll
%System%\rsecloc.dll
%System%\rdeskman.dll
%System%\mfc64d.dll
%System%\sceclid.dll
%System%\ddesksys.dll
%System%\isecman.dll
%System%\scsvc32.exe
%System%\polcfg.dll
%System%\cnfloc.dll
%System%\nseci.dll
%System%\eapproxycrypt.dll
Output : 
{
    "nodes": [
        {"id": 1, "description": "%System%", "type" : "SYSP"},
        {"id": 2, "description": "%Temp%", "type" : "TPTH"},
        {"id": 3, "description": "rpchlpr.exe", "type" : "EXEF"},
        {"id": 4, "description": "symnet32.dll", "type" : "DOCF"},
        {"id": 5, "description": "rdiskman.dll", "type" : "DOCF"},
        {"id": 6, "description": "rseceng.dll", "type" : "DOCF"},
        {"id": 7, "description": "msprtssp.dll", "type" : "DOCF"},
        {"id": 8, "description": "ncompc.dll", "type" : "DOCF"},
        {"id": 9, "description": "rdeskm.dll", "type" : "DOCF"},
        {"id": 10, "description": "dpsf.dll", "type" : "DOCF"},
        {"id": 11, "description": "nsecf.dll", "type" : "DOCF"},
        {"id": 12, "description": "rdesk.dll", "type" : "DOCF"},
        {"id": 13, "description": "dpsloc.dll", "type" : "DOCF"},
        {"id": 14, "description": "ddeskm.dll", "type" : "DOCF"},
        {"id": 15, "description": "rdisksup.dll", "type" : "DOCF"},
        {"id": 16, "description": "rcompf.dll", "type" : "DOCF"},
        {"id": 17, "description": "ncompsup.dll", "type" : "DOCF"},
        {"id": 18, "description": "rdiskf.dll", "type" : "DOCF"},
        {"id": 19, "description": "iseceng.dll", "type" : "DOCF"},
        {"id": 20, "description": "msasspc.dll", "type" : "DOCF"},
        {"id": 21, "description": "wpsloc.dll", "type" : "DOCF"},
        {"id": 22, "description": "wpackpwf.dll", "type" : "DOCF"},
        {"id": 23, "description": "rcnfm.dll", "type" : "DOCF"},
        {"id": 24, "description": "kavupdate.exe", "type" : "EXEF"},
        {"id": 25, "description": "kavupd.exe", "type" : "EXEF"},
        {"id": 26, "description": "klnupd.exe", "type" : "EXEF"},
        {"id": 27, "description": "hptcpprnt.dll", "type" : "DOCF"},
        {"id": 28, "description": "rdeskf.dll", "type" : "DOCF"},
        {"id": 29, "description": "ncnfloc.dll", "type" : "DOCF"},
        {"id": 30, "description": "msaosspc.dll", "type" : "DOCF"},
        {"id": 31, "description": "ndiskloc.dll", "type" : "DOCF"},
        {"id": 32, "description": "mperfcl.dll", "type" : "DOCF"},
        {"id": 33, "description": "polsec.dll", "type" : "DOCF"},
        {"id": 34, "description": "sxsmgrkbd.dll", "type" : "DOCF"},
        {"id": 35, "description": "cfgbaseprt.dll", "type" : "DOCF"},
        {"id": 36, "description": "seccertapi.dll", "type" : "DOCF"},
        {"id": 37, "description": "krbsec.dll", "type" : "DOCF"},
        {"id": 38, "description": "prnpapi.dll", "type" : "DOCF"},
        {"id": 39, "description": "ndisk.dll", "type" : "DOCF"},
        {"id": 40, "description": "ndisksup.dll", "type" : "DOCF"},
