


Sentence : Appendix C: Worldwide encounter and infection rates
“Malicious and unwanted software” on page 71 explains how threat patterns
differ significantly in different parts of the world. Figure 99 shows the infection
and encounter rates for 1Q16 and 2Q16 for locations around the world. [26] See
page 52 for information about how infection and encounter rates are calculated.
Figure 99. Encounter and infection rates for locations around the world, 1Q16–2Q16, by quarter (100,000
computers reporting minimum)
|Country/region|CCM 1Q16|CCM 2Q16|ER 1Q16|ER 2Q16|
|---|---|---|---|---|
|Worldwide|8.4|8.8|18.3%|21.2%|
|Albania|32.3|24.0|35.6%|35.3%|
|Algeria|45.5|44.6|41.2%|39.1%|
|Angola|43.1|42.4|35.1%|36.6%|
|Argentina|15.8|12.7|27.1%|23.0%|
|Armenia|13.7|10.2|38.4%|36.1%|
|Australia|7.7|5.4|14.5%|13.0%|
|Austria|5.7|4.0|13.2%|12.2%|
|Azerbaijan|29.4|23.3|34.7%|33.8%|
|Bahamas, The|—|12.0|—|—|
|Bahrain|39.4|30.3|32.3%|0.0%|
|Bangladesh|29.2|24.9|42.4%|41.1%|
|Barbados|—|10.2|—|—|
|Belarus|6.9|5.7|34.5%|32.8%|
|Belgium|8.3|6.0|14.9%|13.5%|
|Bolivia|27.9|25.5|26.7%|26.6%|
|Bosnia and Herzegovina|26.7|17.6|29.3%|26.3%|
|Brazil|14.0|14.3|29.9%|29.4%|
26 Encounter rate and CCM are shown for locations with at least 100,000 computers running Microsoft realtime security products and the Malicious Software Removal Tool, respectively, during a quarter. Only
computers whose users have opted in to provide data to Microsoft are considered when calculating encounter
and infection rates.
140 APPENDIX C: WORLDWIDE ENCOUNTER AND INFECTION RATES
|Country/region|CCM 1Q16|CCM 2Q16|ER 1Q16|ER 2Q16|
|---|---|---|---|---|
|Bulgaria|12.6|9.8|25.6%|24.2%|
|Cambodia|26.3|23.7|39.1%|39.1%|
|Cameroon|35.7|34.0|—|—|
|Canada|7.2|4.9|14.7%|13.5%|
|Chile|16.6|13.0|25.7%|22.7%|
|China|4.6|5.3|19.1%|21.1%|
|Colombia|16.1|13.6|25.1%|23.6%|
|Costa Rica|15.2|10.9|19.2%|17.0%|
|Côte d’Ivoire|25.3|24.8|35.7%|33.8%|
|Croatia|16.4|8.6|25.1%|20.8%|
|Cyprus|16.8|12.0|23.0%|18.1%|
|Czech Republic|7.4|5.5|17.7%|15.2%|
|Denmark|5.1|3.1|12.1%|10.0%|
|Dominican Republic|26.9|22.1|31.0%|27.2%|
|Ecuador|22.0|16.8|26.3%|23.2%|
|Egypt|36.8|34.5|40.9%|37.3%|
|El Salvador|22.5|17.1|23.2%|20.9%|
|Estonia|10.2|4.6|19.8%|17.9%|
|Finland|4.7|2.1|9.2%|7.9%|
|France|6.6|5.6|17.0%|15.3%|
|Georgia|18.7|13.7|31.0%|29.9%|
|Germany|4.3|3.2|13.0%|13.0%|
|Ghana|32.0|29.9|40.3%|33.8%|
|Greece|14.6|8.3|22.4%|18.7%|
|Guadeloupe|10.7|9.7|—|—|
|Guatemala|23.8|19.3|22.4%|21.4%|
|Honduras|29.5|22.1|26.0%|23.5%|
|Hong Kong SAR|12.6|7.4|17.7%|17.0%|
|Hungary|8.9|5.7|23.3%|19.2%|
|Iceland|6.9|3.8|14.6%|12.6%|
|India|35.6|26.9|35.4%|32.6%|
|Indonesia|45.1|34.4|47.5%|45.2%|
MICROSOFT SECURITY INTELLIGENCE REPORT, VOLUME 20, JANUARY–JUNE 2016  141
|Country/region|CCM 1Q16|CCM 2Q16|ER 1Q16|ER 2Q16|
|---|---|---|---|---|
|Iraq|62.5|59.8|38.1%|36.9%|
|Ireland|10.3|6.3|14.0%|11.6%|
|Israel|14.3|10.0|25.4%|24.9%|
|Italy|9.1|7.2|22.2%|18.8%|
|Jamaica|25.8|16.9|27.2%|24.2%|
|Japan|2.5|2.2|6.9%|6.6%|
|Jordan|46.3|39.2|37.8%|35.8%|
|Kazakhstan|12.5|10.3|36.3%|34.9%|
|Kenya|26.9|23.1|32.4%|29.9%|
|Korea|6.3|6.6|15.7%|15.8%|
|Kuwait|34.5|25.4|27.1%|26.2%|
|Latvia|9.7|5.2|22.6%|20.5%|
|Lebanon|40.8|33.2|31.2%|29.4%|
|Libya|82.8|78.3|—|—|
|Lithuania|13.3|7.1|23.8%|19.9%|
|Luxembourg|7.7|5.1|15.1%|13.9%|
|Macao SAR|15.1|9.8|—|—|
|Macedonia, FYRO|26.3|16.7|30.2%|27.5%|
|Malaysia|28.7|20.4|29.6%|27.6%|
|Malta|15.0|8.0|18.7%|16.2%|
|Martinique|9.3|8.3|—|—|
|Mauritius|26.8|18.1|29.1%|0.0%|
|Mexico|20.6|17.2|24.4%|23.8%|
|Moldova|12.1|8.6|31.9%|30.1%|
|Mongolia|59.5|55.9|47.0%|49.3%|
|Morocco|39.5|36.0|36.9%|34.9%|
|Mozambique|—|32.5|—|—|
|Namibia|—|18.8|—|—|
|Nepal|42.4|39.5|42.1%|41.1%|
|Netherlands|6.6|3.6|15.2%|13.0%|
|New Zealand|7.7|5.4|13.1%|11.8%|
|Nicaragua|21.9|15.3|23.4%|0.0%|
142 APPENDIX C: WORLDWIDE ENCOUNTER AND INFECTION RATES
|Country/region|CCM 1Q16|CCM 2Q16|ER 1Q16|ER 2Q16|
|---|---|---|---|---|
|Nigeria|34.1|28.4|30.3%|28.7%|
|Norway|5.4|3.1|10.7%|10.0%|
|Oman|55.5|45.6|36.9%|35.1%|
|Pakistan|42.6|37.3|48.8%|45.4%|
|Palestinian Authority|48.0|47.9|46.7%|42.4%|
|Panama|18.1|14.5|21.1%|20.8%|
|Paraguay|19.9|16.0|24.4%|22.6%|
|Peru|24.9|21.9|24.6%|25.9%|
|Philippines|42.7|31.5|39.6%|35.6%|
|Poland|9.1|6.9|23.1%|19.7%|
|Portugal|10.1|7.0|22.9%|20.5%|
|Puerto Rico|15.9|10.1|22.2%|19.6%|
|Qatar|31.9|21.4|29.3%|27.8%|
|Réunion|11.8|9.8|19.4%|18.5%|
|Romania|16.2|11.8|27.6%|24.4%|
|Russia|5.8|4.7|27.2%|24.9%|
|Saudi Arabia|38.3|28.8|31.6%|28.6%|
|Senegal|26.5|24.7|38.3%|37.2%|
|Serbia|23.0|13.5|28.3%|25.6%|
|Singapore|12.6|8.1|20.2%|19.4%|
|Slovakia|11.2|7.5|18.6%|15.7%|
|Slovenia|9.8|5.3|18.7%|16.5%|
|South Africa|18.0|14.8|24.0%|23.0%|
|Spain|12.5|8.9|22.6%|19.3%|
|Sri Lanka|26.9|21.2|31.0%|28.8%|
|Sweden|6.3|3.5|12.2%|10.3%|
|Switzerland|5.5|4.3|11.7%|12.9%|
|Taiwan|9.9|7.5|19.8%|22.3%|
|Tanzania|32.5|33.1|41.5%|38.0%|
|Thailand|30.0|25.3|36.4%|34.9%|
|Trinidad and Tobago|20.2|12.0|21.7%|18.5%|
|Tunisia|39.4|34.0|37.4%|36.4%|
MICROSOFT SECURITY INTELLIGENCE REPORT, VOLUME 20, JANUARY–JUNE 2016  143
|Country/region|CCM 1Q16|CCM 2Q16|ER 1Q16|ER 2Q16|
|---|---|---|---|---|
|Turkey|24.9|22.9|34.8%|31.4%|
|Ukraine|6.3|5.2|34.2%|31.7%|
|United Arab Emirates|36.5|23.7|30.4%|27.4%|
|United Kingdom|6.7|4.4|13.7%|11.5%|
|United States|4.9|4.3|11.9%|12.0%|
|Uruguay|16.3|12.7|23.0%|20.3%|
|Venezuela|25.2|21.6|30.4%|28.0%|
|Vietnam|25.7|23.3|45.9%|45.7%|
|Zambia|—|27.1|—|—|
|Zimbabwe|32.1|27.6|—|—|
|Worldwide|8.4|8.8|18.3%|21.2%|
144 APPENDIX C: WORLDWIDE ENCOUNTER AND INFECTION RATES
Output : 
{
  "nodes": [
    {
      "id": "1",
      "label": "Worldwide",
      "type": "COUNTRY"
    },
    {
      "id": "2",
      "label": "Albania",
      "type": "COUNTRY"
    },
    {
      "id": "3",
      "label": "Argentina",
      "type": "COUNTRY"
    },
    {
      "id": "4",
      "label": "Armenia",
      "type": "COUNTRY"
    },
    {
      "id": "5",
      "label": "Australia",
      "type": "COUNTRY"
    },
    {
      "id": "6",
      "label": "Austria",
      "type": "COUNTRY"
    },
    {
      "id": "7",
      "label": "Azerbaijan",
      "type": "COUNTRY"
    },
    {
      "id": "8",
      "label": "Bahrain",
      "type": "COUNTRY"
    },
    {
      "id": "9",
      "label": "Bangladesh",
      "type": "COUNTRY"
    },
    {
      "id": "10",
      "label": "Belarus",
      "type": "COUNTRY"
    },
    {
      "id": "11",
      "label": "Belgium",
      "type": "COUNTRY"
    },
    {
      "id": "12",
      "label": "Bolivia",
      "type": "COUNTRY"
    },
    {
      "id": "13",
      "label": "Bosnia and Herzegovina",
      "type": "COUNTRY"
    },
    {
      "id": "14",
      "label": "Brazil",
      "type": "COUNTRY"
    },
    {
      "id": "15",
      "label": "Bulgaria",
      "type": "COUNTRY"
    },
    {
      "id": "16",
      "label": "Canada",
      "type": "COUNTRY"
    },
    {
      "id": "17",
      "label": "Chile",
      "type": "COUNTRY"
    },
    {
      "id": "18",
      "label": "China",
      "type": "COUNTRY"
    },
    {
      "id": "19",
      "label": "Colombia",
      "type": "COUNTRY"
    },
    {
      "id": "20",
      "label": "Costa Rica",
      "type": "COUNTRY"
    },
    {
      "id": "21",
      "label": "Croatia",
      "type": "COUNTRY"
    },
    {
      "id": "22",
      "label": "Cyprus",
      "type": "COUNTRY"
    },
    {
      "id": "23",
      "label": "Czech Republic",
      "type": "COUNTRY"
    },
    {
      "id": "24",
      "label": "Denmark",
      "type": "COUNTRY"
    },
    {
      "id": "25",
      "label": "Dominican Republic",
      "type": "COUNTRY"
    },
    {
      "id": "26",
      "label": "Ecuador",
      "type": "COUNTRY"
    },
    {
      "id": "27",
      "label": "Egypt",
      "type": "COUNTRY"
    },
    {
      "id": "28",
      "label": "El Salvador",
      "type": "COUNTRY"
    },
    {
      "id": "29",
      "label": "Estonia",
      "type": "COUNTRY"
    },
    {
      "id": "30",
      "label": "Finland",
      "type": "COUNTRY"
    },
    {
      "id": "31",
      "label": "France",
