Appendix B: Malicious hosts/IP addresses
|Host|Usage|Geo Location|
|---|---|---|
|62.210.25.121|Reverse shell metepreter (port 80)|France|
|80.84.49.61|Reverse shell metepreter (port 53)|UK|
|80.84.49.66|VBS script C&C|United Kingdom|
|81.17.28.124|AdobeUpdateManagementTool.vbs|Switzerland|
|89.163.248.8|Reverse shell metepreter|Germany|
|89.163.248.6|Reverse shell metepreter|Germany|
|95.215.44.12|Cobalt Strike's Beacon|Sweden|
|95.215.46.221|AdobeUpdateManagementTool.vbs|Sweden|
|95.215.46.229|AdobeUpdateManagementTool.vbs|Sweden|
|95.215.46.234|AdobeUpdateManagementTool.vbs|Sweden|
|95.215.46.249|AdobeUpdateManagementTool.vbs|Sweden|
|95.215.44.94|svchost.exe|Sweden|
|95.215.47.105|Hosting AdobeUpdateManagementTool.vbs|Sweden|
|104.250.138.197|svchost.exe|United States|
|107.181.246.189|Carbanak C&C (port 443)|United States|
|148.251.18.75|AdobeUpdateManagementTool.vbs|Germany|
|179.43.140.85|Carbanak C&C (port 443)|Switzerland|
|179.43.133.34|AdobeUpdateManagementTool.vbs|Switzerland|
|192.99.14.211|Carbanak C&C|Canada|
|212.129.36.175|PowerShell C&C|France|
**Table 12. ** Malicious hosts and IPs
