Cambodia
|Organization|Website|Compromised Page|
|---|---|---|
|Ministry ofForeignAffairs|www.mfa.gov.kh|/jwplayer.js|
|Ministry ofEnvironment|www.moe.gov.kh|/other/js/jquery/jquery.js|
|Ministry ofCivil Service|www.mcs.gov.kh|Main Index|
|NationalPolice|www.police.gov.kh|/wp-includes/js/jquery/jquery.js?ver=1.12.4|
Save web pages as PDF with PDFmyURL
|Ministry ofNationalAssembly-SenateRelations andInspection|www.monasri.gov.kh|wtemplates/monasri_template/js/menu/mega.js|
|---|---|---|
|Ministry ofSocial Affairs,Veterans, andYouthRehabilitation|www.mosvy.gov.kh|/public/js/default.js|
|NationalElectionCommittee|www.necelect.org.kh|Main Index|
