第 5 章 组织能力或特性分析
|主项|子项|毒云藤|海莲花|
|---|---|---|---|
|攻击目标|人员|政府人员、行业专家|政府人员、行业专家|
|攻击目标|行业、领域|中国政府、科研院所、海事机构等 军事、两岸关系|中国政府、科研院所、海事机构等|
|攻击目标|国家|中国|中国，其他|
|攻击目标|地域|重点：北京、福建、广东、浙江、上海|重点：北京、天津|
|概况|攻击者个人信息|||
|概况|规模|||
|概况|母语|简体中文、繁体中文|简体中文、越语|
|概况|威胁等级|高（5）|高（4）|
|概况|综合实力|高（5）|高（3）|
|涉及的行动（组织特有）||||
|涉及的组织（行动特有）||||
|攻击手法|常用语言或语种|简体中文|简体中文|
|攻击手法|攻击前导|邮件+PE邮件+漏洞文档|邮件+PE网站+PE（MAC）|
|攻击手法|发送邮件习惯|用WEB 邮箱Phpmail 工具||
|攻击手法|0day 利用的情况|1 个|无|
|攻击手法|漏洞利用种类|CVE-2014-4114、CVE-2012-0158|无|
|攻击手法|攻击平台|windows|Windows\Mac|
|攻击手法|横向移动|||
|攻击手法|常用RAT 类型|PI\ZXSHELL 等|未知|
|攻击手法|家族种类|6 个以上|4|
|攻击手法|……|||
|攻击目的|破坏|无|无|
|攻击目的|窃取|CC 指令、遍历指定文件|CC 指令|
|行动持续时间|首次攻击时间|2007|2012|
|行动持续时间|最近攻击时间|2018|2018|
|行动持续时间|活跃度|非常活跃|非常活跃|
|其他|C&C 域名属性|大量采用动态域名，基于NO-IP等|未使用动态域名，但有域名信息保护|
|其他|IP 属性|ADSL，大部分归属地为某特定地区，另外有美国、中国香港||
69 / 78
