|Col1|Col2|Col3|Col4|
|---|---|---|---|
|2019-01|Macros|EXE|SHARPSTATS|
|2019-01|Macros|INF, EXE|DELPHSTATS|
|2019-03|Macros|Base64 encoded, BAT|POWERSTATS v2|
|2019-04|Template injection|Document with macros|POWERSTATS v1 orv2|
|2019-05|Macros|VBE|POWERSTATS v3|
|Name of the Post-Exploitation Tool|Programming language/Interpreter|
|---|---|
|CrackMapExec|Python, PyInstaller|
|ChromeCookiesView|Executable file|
|chrome-passwords|Executable file|
|EmpireProject|PowerShell, Python|
|FruityC2|PowerShell|
|Koadic|JavaScript|
|LaZagne|Python, PyInstaller|
|Meterpreter|Reflective loader, executable file|
|Mimikatz|Executable file|
|MZCookiesView|Executable file|
|PowerSploit|PowerShell|
|Shootback|Python, PyInstaller|
|Smbmap|Python, PyInstaller|
