


Sentence : Use of Publicly Available RATs and Tools
A look into the PDB strings and sample structures revealed that TICK was using publicly available remote
access trojans (RATs) and open source tools. In addition, they look into these online tools to modify
them or to import the techniques into their malware. As an example, they cloned Lilith RAT from GitHub.
Originally developed in C++.
The following is a collection of PDB strings related to open source RATs and tools:


C:\Users\XF\Documents\Visual Studio 2010\Projects\win10\Release\win10.pdb


C:\Users\jack\Desktop\RAT\C+\Lilith-master\x64\Release\Lilith.pdb


C:\Users\jack\Desktop\RAT\C+\Lilith-master\Release\winlive.pdb


c:\users\frank\desktop\doubleagent-master\bin\doubleagent_x64.pdb


c:\users\frank\desktop\zwcreatethreadex_test.7z\zwcreatethreadex_test\x64\debug\


zwcreatethreadex_test.pdb (see Figure 42)
Figure 49. The project name can be found via online search
We also observed the use of the hack tool Mimikatz, as well as various tools for RAR compression, port
mapping, and screen capture, among others.
Figure 50. A modified RAR tool. We observed TICK’s preference for using the QWERTY order strings
for the group’s file passwords (e.g., zxcvbnm,./)
35 | Operation ENDTRADE: TICK’s Multi-Stage Backdoors for Attacking Industries and Stealing Classified Data
Figure 51. A modified screen capture tool
In addition, we found some more details that caught our attention:


TICK prefers to use the folder _C:\Intel_ for their storage in the infected machines


Some of their tools are customized, using tools downloaded from GitHub or blogs that they


rebuilt or compiled
Figure 52. Modified Mimikatz
Figure 53. Port mapping tool
36 | Operation ENDTRADE: TICK’s Multi-Stage Backdoors for Attacking Industries and Stealing Classified Data
Figure 54. Packet transmit tool
Figure 55. Tool that generates a list of installed software versions
Figure 56. Tool for bypassing Win10 user account control (UAC)
37 | Operation ENDTRADE: TICK’s Multi-Stage Backdoors for Attacking Industries and Stealing Classified Data
Figure 57. Tool that retrieves VBScript with ADS
Sample Indicators of Compromise
|20334c3c49d640943f2e56070b0ed36116959e5841cdd6db0d7a559723ef3292|Backdoor.Win64.LILITH.A|
|---|---|
|7924cb540d8fd0bcad6207e9386f60b1b1091a2ced52c127cac1a0f5465b42df|Backdoor.Win32.LILITH.A|
|2c30a332030c1cb7e197ea61c551de5231917295023354eef7606525e6211430|HackTool.Win32.GetVersion.A|
|af6243ecb80c56a95d90f6187b602a92dafbfa8016be49f751acabc66d76e094|HackTool.Win32.Mimikatz.CNFL|
|3692564477a5eee465f46cdb2462b75b2b271cd2e0e0518eade3cf76a4714765|HackTool.Win32.PortScan.SWJ|
|0d790da7751bdedf14f8a342f25d1fcc9d4c1c4010002f5c45569d1d2b1a2d0f|HackTool.Win32.TestMac.A|
|cf035b3ddf1072ab414d82b6540ec8d06703d281a2f606d1e42c771d9391dfac|HKTL_SCRENCAP.ZYGD|
38 | Operation ENDTRADE: TICK’s Multi-Stage Backdoors for Attacking Industries and Stealing Classified Data
Output : 
{
    "nodes": [
        {"id": 1, "description": "TICK", "type" : "ACTO"},
        {"id": 2, "description": "Publicly available remote access trojans (RATs)", "type" : "APPS"},
        {"id": 3, "description": "Open source tools", "type" : "APPS"},
        {"id": 4, "description": "Lilith RAT from GitHub", "type" : "DOCF"},
        {"id": 5, "description": "C++", "type" : "EXEF"},
        {"id": 6, "description": "C:\\Users\\XF\\Documents\\Visual Studio 2010\\Projects\\win10\\Release\\win10.pdb", "type" : "SYSP"},
        {"id": 7, "description": "C:\\Users\\jack\\Desktop\\RAT\\C+\\Lilith-master\\x64\\Release\\Lilith.pdb", "type" : "SYSP"},
        {"id": 8, "description": "C:\\Users\\jack\\Desktop\\RAT\\C+\\Lilith-master\\Release\\winlive.pdb", "type" : "SYSP"},
        {"id": 9, "description": "c:\\users\\frank\\desktop\\doubleagent-master\\bin\\doubleagent_x64.pdb", "type" : "SYSP"},
        {"id": 10, "description": "c:\\users\\frank\\desktop\\zwcreatethreadex_test.7z\\zwcreatethreadex_test\\x64\\debug\\zwcreatethreadex_test.pdb", "type" : "SYSP"},
        {"id": 11, "description": "Mimikatz", "type" : "APPS"},
        {"id": 12, "description": "RAR compression tool", "type" : "APPS"},
        {"id": 13, "description": "Port mapping tool", "type" : "APPS"},
        {"id": 14, "description": "Screen capture tool", "type" : "APPS"},
        {"id": 15, "description": "C:\\Intel\\ for storage in infected machines", "type" : "SYSP"},
        {"id": 16, "description": "Customized tools from GitHub or blogs", "type" : "APPS"},
        {"id": 17, "description": "Modified Mimikatz", "type" : "APPS"},
        {"id": 18, "description": "Port mapping tool (modified)", "type" : "APPS"},
        {"id": 19, "description": "Packet transmit tool", "type" : "APPS"},
        {"id": 20, "description": "Tool that generates a list of installed software versions", "type" : "APPS"},
        {"id": 21, "description": "Tool for bypassing Win10 user account control (UAC)", "type" : "APPS"},
        {"id": 22, "description": "Tool that retrieves VBScript with ADS", "type" : "APPS"},
        {"id": 23, "description": "Backdoor.Win64.LILITH.A", "type" : "IOCS"},
        {"id": 24, "description": "Backdoor.Win32.LILITH.A", "type" : "IOCS"},
        {"id": 25, "description": "HackTool.Win32.GetVersion.A", "type" : "IOCS"},
        {"id": 26, "description": "HackTool.Win32.Mimikatz.CNFL", "type" : "IOCS"},
        {"id": 27, "description": "HackTool.Win32.PortScan.SWJ", "type" : "IOCS"},
        {"id": 28, "description": "HackTool.Win32.TestMac.A", "type" : "IOCS"},
        {"id": 29, "description": "HKTL_SCRENCAP.ZYGD", "type" : "IOCS"}
    ],
    "edges": [
        {"source": 1, "target": 2, "rel_name" : "uses"},
        {"source": 1, "target": 3, "rel_name" : "uses"},
        {"source": 1, "target": 4, "rel_name" : "clones"},
        {"source": 1, "target": 6, "rel_name" : "related to"},
        {"source": 1, "target": 7, "rel_name" : "related to"},
        {"source": 1, "target": 8, "rel_name" : "related to"},
        {"source": 1, "target": 9, "rel_name" : "related to"},
        {"source": 1, "target": 10, "rel_name" : "related to"},
        {"source": 1, "target": 11, "rel_name" : "uses"},
        {"source": 1, "target": 12, "rel_name" : "uses"},
        {"source": 1, "target": 13, "rel_name" : "uses"},
        {"source": 1, "target": 14, "rel_name" : "uses"},
        {"source": 1, "target": 15, "rel_name" : "stores in"},
        {"source": 1, "target": 16, "rel_name" : "customizes from"},
        {"source": 1, "target": 17, "rel_name" : "uses modified version of"},
        {"source": 1, "target": 18, "rel_name" : "uses modified version of"},
        {"source": 1, "target": 19, "rel_name" : "uses"},
        {"source": 1, "target": 20, "rel_name" : "uses"},
        {"source": 1, "target": 21, "rel_name" : "uses"},
        {"source": 1, "target": 22, "rel_name" : "uses"},
        {"source": 23, "rel_name" : "indicates presence of", "target": 4},
        {"source": 24, "rel_name" : "indicates presence of", "target": 4},
        {"source": 25, "rel_name" : "related to", "target": 1},
        {"source": 26, "rel_name" : "related to", "target": 17},
        {"source": 27, "rel_name" : "related to", "target": 13},
        {"source": 28, "rel_name" : "related to", "target": 1},
        {"source": 29, "rel_name" : "related to", "target": 14}
    ]
}
