


Sentence : Indicators of Compromise
Kimsuky has used the domains listed in table 1 to carry out its objectives:
For a downloadable copy of IOCs, see AA20-301A.stix.
Table 1: Domains used by Kimsuky
|login.bignaver[.]com|nytimes.onekma[.]com|webuserinfo[.]com|
|---|---|---|
|member.navier.pe[.]hu|nid.naver.onektx[.]com|pro-navor[.]com|
|Cloudnaver[.]com|read.tongilmoney[.]com|naver[.]pw|
58 Securelist: The “Kimsuky” Operation: A North Korean APT?
https://securelist.com/the-kimsuky-operation-a-north-korean-apt/57915/
59 Private Sector Partner.
60 Securelist: The “Kimsuky” Operation: A North Korean APT?
https://securelist.com/the-kimsuky-operation-a-north-korean-apt/57915/
Page 13 of 15 | Product ID: AA20-301A
TLP:WHITE
|Resetprofile[.]com|nid.naver.unicrefia[.]com|daurn[.]org|
|---|---|---|
|Servicenidnaver[.]com|mail.unifsc[.]com|naver.com[.]de|
|account.daurn.pe[.]hu|member.daum.unikortv[.]com|ns.onekorea[.]me|
|login.daum.unikortv[.]com|Securetymail[.]com|riaver[.]site|
|account.daum.unikortv[.]com|help-navers[.]com|mailsnaver[.]com|
|daum.unikortv[.]com|beyondparallel.sslport[.]work|cloudmail[.]cloud|
|member.daum.uniex[.]kr|comment.poulsen[.]work|helpnaver[.]com|
|jonga[.]ml|impression.poulsen[.]work|view-naver[.]com|
|myaccounts.gmail.kr-infos[.]com|statement.poulsen[.]work|view-hanmail[.]net|
|naver.hol[.]es|demand.poulsen[.]work|login.daum.net-accounts[.]info|
|dept-dr.lab.hol[.]es|sankei.sslport[.]work|read-hanmail[.]net|
|Daurn.pe[.]hu|sts.desk-top[.]work|net.tm[.]ro|
|Bigfile.pe[.]hu|hogy.desk-top[.]work|daum.net[.]pl|
|Cdaum.pe[.]hu|Kooo[.]gq|Usernaver[.]com|
|eastsea.or[.]kr|Tiosuaking[.]com|naver.com[.]ec|
|myaccount.nkaac[.]net|help.unikoreas[.]kr|naver.com[.]mx|
|naver.koreagov[.]com|Resultview[.]com|naver.com[.]se|
|naver.onegov[.]com|account.daum.unikftc[.]kr|naver.com[.]cm|
|member-authorize[.]com|ww-naver[.]com|nid.naver.com[.]se|
|naver.unibok[.]kr|vilene.desk-top[.]work|csnaver[.]com|
|nid.naver.unibok[.]kr|amberalexander.ghtdev[.]com|Nidnaver[.]email|
|read-naver[.]com|Nidnaver[.]net|Cooper[.]center|
|dubai-1[.]com|coinone.co[.]in|nidlogin.naver.corper[.]be|
|amberalexander.ghtdev[.]com|naver.com[.]pl|nid.naver.corper[.]be|
|gloole[.]net|naver[.]cx|Naverdns[.]co|
|smtper[.]org|Smtper[.]cz|naver.co[.]in|
|login.daum.kcrct[.]ml|myetherwallet.com[.]mx|downloadman06[.]com|
|login.outlook.kcrct[.]ml|myetherwallet.co[.]in|loadmanager07[.]com|
Page 14 of 15 | Product ID: AA20-301A
TLP:WHITE
|top.naver.onekda[.]com|com-download[.]work|com-option[.]work|
|---|---|---|
|com-sslnet[.]work|com-vps[.]work|com-ssl[.]work|
|desk-top[.]work|intemet[.]work|jp-ssl[.]work|
|org-vip[.]work|sslport[.]work|sslserver[.]work|
|ssltop[.]work|taplist[.]work|vpstop[.]work|
|Webmain[.]work|preview.manage.org-view[.]work|intranet.ohchr.account-protect[.]work|
Table 2: Redacted domains used by Kimsuky
|[REDACTED]/home/dwn[.]php?van=101|[REDACTED]/home/dwn[.]php?v%20an=101|[REDACTED]/home/dwn[.]php?van=102|
|---|---|---|
|[REDACTED]/home/up[.]php?id=NQDPDE|[REDACTED]/test/Update[.]php?wShell=201||
Output : 
{
    "nodes": [
        {"id": 1, "description": "Kimsuky", "type" : "ACTO"},
        {"id": 2, "description": "North Korea", "type" : "COUN"},
        {"id": 3, "description": "AA20-301A.stix", "type" : "DOCF"},
        {"id": 4, "description": "login.bignaver[.]com", "type" : "CCSH"},
        {"id": 5, "description": "nytimes.onekma[.]com", "type" : "CCSH"},
        {"id": 6, "description": "webuserinfo[.]com", "type" : "CCSH"},
        {"id": 7, "description": "member.navier.pe[.]hu", "type" : "CCSH"},
        {"id": 8, "description": "nid.naver.onektx[.]com", "type" : "CCSH"},
        {"id": 9, "description": "pro-navor[.]com", "type" : "CCSH"},
        {"id": 10, "description": "Cloudnaver[.]com", "type" : "CCSH"},
        {"id": 11, "description": "read.tongilmoney[.]com", "type" : "CCSH"},
        {"id": 12, "description": "naver[.]pw", "type" : "CCSH"},
        {"id": 13, "description": "Resetprofile[.]com", "type" : "CCSH"},
        {"id": 14, "description": "nid.naver.unicrefia[.]com", "type" : "CCSH"},
        {"id": 15, "description": "daurn[.]org", "type" : "CCSH"},
        {"id": 16, "description": "Servicenidnaver[.]com", "type" : "CCSH"},
        {"id": 17, "description": "mail.unifsc[.]com", "type" : "CCSH"},
        {"id": 18, "description": "naver.com[.]de", "type" : "CCSH"},
        {"id": 19, "description": "account.daurn.pe[.]hu", "type" : "CCSH"},
        {"id": 20, "description": "member.daum.unikortv[.]com", "type" : "CCSH"},
        {"id": 21, "description": "ns.onekorea[.]me", "type" : "CCSH"},
        {"id": 22, "description": "login.daum.unikortv[.]com", "type" : "CCSH"},
        {"id": 23, "description": "Securetymail[.]com", "type" : "CCSH"},
        {"id": 24, "description": "riaver[.]site", "type" : "CCSH"},
        {"id": 25, "description": "account.daum.unikortv[.]com", "type" : "CCSH"},
        {"id": 26, "description": "help-navers[.]com", "type" : "CCSH"},
        {"id": 27, "description": "mailsnaver[.]com", "type" : "CCSH"},
        {"id": 28, "description": "daum.unikortv[.]com", "type" : "CCSH"},
        {"id": 29, "description": "beyondparallel.sslport[.]work", "type" : "CCSH"},
        {"id": 30, "description": "cloudmail[.]cloud", "type" : "CCSH"},
        {"id": 31, "description": "member.daum.uniex[.]kr", "type" : "CCSH"},
        {"id": 32, "description": "comment.poulsen[.]work", "type" : "CCSH"},
        {"id": 33, "description": "helpnaver[.]com", "type" : "CCSH"},
        {"id": 34, "description": "jonga[.]ml", "type" : "CCSH"},
        {"id": 35, "description": "impression.poulsen[.]work", "type" : "CCSH"},
        {"id": 36, "description": "view-naver[.]com", "type" : "CCSH"},
        {"id": 37, "description": "myaccounts.gmail.kr-infos[.]com", "type" : "CCSH"},
        {"id": 38, "description": "statement.poulsen[.]work", "type" : "CCSH"},
        {"id": 39, "description": "view-hanmail[.]net", "type" : "CCSH"},
        {"id": 40, "description": "login.daum.net-accounts[.]info", "type" : "CCSH"},
        {"id": 41, "description": "dept-dr.lab.hol[.]es", "type" : "CCSH"},
        {"id": 42, "description": "sankei.sslport[.]work", "type" : "CCSH"},
        {"id": 43, "description": "net.tm[.]ro", "type" : "CCSH"},
        {"id": 44, "description": "daum.net[.]pl", "type" : "CCSH"},
        {"id": 45, "description": "Bigfile.pe[.]hu", "type" : "CCSH"},
        {"id": 46, "description": "hogy.desk-top[.]work", "type" : "CCSH"},
        {"id": 47, "description": "daum.unikortv[.]com", "type" : "CCSH"},
        {"id": 48, "description": "beyondparallel.sslport[.]work", "type" : "CCSH"},
        {"id": 49, "description": "cloudmail[.]cloud", "type" : "CCSH"},
        {"id": 50, "description": "member.daum.uniex[.]kr", "type" : "CCSH"},
        {"id": 51, "description": "comment.poulsen[.]work", "type" : "CCSH"},
        {"id": 52, "description": "helpnaver[.]com", "type" : "CCSH"},
