Web Shell
Files
|SHA256 Note Detection TrendX|Col2|Col3|Col4|
|---|---|---|---|
|d7ecfd61915972f1d74f51039fc97a3b2d855a13c70a052ebb1bc80e78dd338|C# Webshell|Backdoor.ASP.WEBSHELL.QUWMLAR|N/A|
|d7078956cb7be6e7e6751ec66ff0e1c428a67d8ab6be03f9ed6fbcede866c39e|JSP Webshell|Backdoor.Java.WEBSHELL.SBJKUG|N/A|
|cd335698d4c2422e924fdc67dcceb2037c954d875f03aa298d9fb5f0db851548|JSP BehinderWebshell|Backdoor.Java.WEBSHELL.SBJKUG|N/A|
|4d0c611bece3baa5d1502b50779be653e25c0ac8679111628d32686002743600|Gamma Webshell|Backdoor.JS.WEBSHELL.KEQW|N/A|
|60b4d23d41707ef7fc09e01f1864cb0d8c8a4f5d180fc97e559356780efcd54b|PHP Webshell|Backdoor.PHP.WEBSHELL.SBJKRW|N/A|
|7aaf33bb2979262590932dcfd6902d09a3c0045d906570a15123fa12f8656171|PHP Webshell|Backdoor.PHP.WEBSHELL.SBJKXRW|N/A|
|ececbed665469514ed8583a4928f9a524f00a9b9c3c042015717ea22614398e4|PHP Webshell|Backdoor.PHP.WEBSHELL.SBJKXRW|N/A|
|---|---|---|---|
|b081db87c75b6aea905a62532cb40bc21bc7acebb7a0c6c601d993c76a8c6ce1|PHP DatabaseWebshell (legitimateabused tool)|HS_DBShell.A|N/A|
|bb45df12b63e5b133e6cb622b174ad68bc95a5bce15f98eede56597d38401b27|PHP Webshell|Backdoor.PHP.WEBSHELL.SBJKXRW|N/A|
|566152a2d86186dcfb28856b4ed0dfdb60e355d93ab693f7931201f75868fff0|PHP Web DatabaseManage (legitimateabused tool)|HS_Adminer.A|N/A|
|e2e969efc2d688e01a9aa32d50176374af811a3324651fb03b7b848e06e0b677|PHP Web DatabaseManage (legitimateabused tool)|HS_Adminer.B|N/A|
|c0725296e8ab3d9d3c932ecf45588f39ef8fa7a310d31bfd05a061194f8eeb1e|PHP Web DatabaseDump|Backdoor.PHP.DBSHELL.A|N/A|
|b151285b331ab2450e2f7387590b29348ebb6f34391d4b10958faea715027795|PHP Web DatabaseDump|Backdoor.PHP.DBSHELL.A|N/A|
