Appendix A: Cyclops Blink Command-and-Control (C&C) Servers
|C&C IP Address|Country|
|---|---|
|1.9.85.247|MY|
|1.9.85.248|MY|
|1.9.85.249|MY|
|1.9.85.252|MY|
|1.9.85.253|MY|
|1.9.85.254|MY|
|2.192.0.94|IT|
|---|---|
|2.192.1.120|IT|
|2.192.6.144|IT|
|2.192.67.0|IT|
|2.192.7.244|IT|
|2.192.71.115|IT|
|2.192.74.124|IT|
|2.229.24.16|IT|
|2.229.32.106|IT|
|2.230.110.137|IT|
|12.34.226.34|US|
|12.172.90.242|US|
|12.191.39.162|US|
|12.191.39.163|US|
|12.191.39.164|US|
|12.191.39.165|US|
|12.191.39.166|US|
|---|---|
|24.39.220.218|US|
|24.96.94.11|US|
|24.199.247.222|US|
|24.227.240.210|US|
|24.227.240.211|US|
|37.26.183.94|FR|
|37.71.147.186|FR|
|37.99.163.162|SA|
|37.99.163.163|SA|
|37.99.163.164|SA|
|37.99.163.165|SA|
|37.99.163.166|SA|
|41.142.240.197|MA|
|50.192.49.210|US|
|50.196.104.201|US|
|50.243.3.153|US|
|---|---|
|50.243.3.154|US|
|50.243.3.155|US|
|50.243.3.156|US|
|50.243.3.157|US|
|50.255.126.65|US|
|65.183.166.218|US|
|65.183.166.219|US|
|65.183.166.220|US|
|65.183.166.222|US|
|69.54.25.34|US|
|70.62.153.174|US|
|70.89.246.33|US|
|70.89.246.34|US|
|70.89.246.35|US|
|70.89.246.36|US|
|70.89.246.37|US|
|---|---|
|70.91.93.133|US|
|72.68.69.63|US|
|78.134.89.167|IT|
|79.11.46.30|IT|
|80.15.113.188|FR|
|80.118.6.90|FR|
|80.153.75.103|DE|
|80.155.38.210|DE|
|80.155.38.211|DE|
|80.155.38.212|DE|
|80.155.38.213|DE|
|80.155.38.214|DE|
|81.4.177.114|CY|
|81.4.177.115|CY|
|81.4.177.116|CY|
|81.4.177.117|CY|
|---|---|
|81.4.177.118|CY|
|82.198.72.201|DE|
|82.62.143.41|IT|
|87.139.213.76|DE|
|87.193.135.123|DE|
|90.63.245.175|FR|
|90.85.224.121|FR|
|90.85.224.122|FR|
|90.85.224.123|FR|
|90.85.224.124|FR|
|90.85.224.125|FR|
|93.51.177.66|IT|
|93.51.177.67|IT|
|93.51.177.68|IT|
|93.51.177.69|IT|
|93.51.177.70|IT|
|---|---|
|96.67.145.115|US|
|96.80.68.193|US|
|96.80.68.194|US|
|96.80.68.195|US|
|96.80.68.196|US|
|96.80.68.197|US|
|97.87.91.211|US|
|97.87.91.212|US|
|97.87.91.213|US|
|97.87.91.214|US|
|97.87.91.215|US|
|97.87.91.216|US|
|97.87.91.217|US|
|97.87.91.218|US|
|97.87.91.219|US|
|100.42.249.124|CA|
|---|---|
|100.43.220.234|US|
|100.43.220.235|US|
|100.43.220.236|US|
|100.43.220.237|US|
|100.43.220.238|US|
|102.50.244.205|MA|
|105.157.69.243|MA|
|105.159.248.137|MA|
|109.192.30.125|DE|
|137.103.44.146|US|
|148.76.89.2|US|
|148.76.89.3|US|
|148.76.89.4|US|
|148.76.89.5|US|
|148.76.89.6|US|
|151.0.169.240|IT|
|---|---|
|151.0.169.241|IT|
|151.0.169.242|IT|
|151.0.169.243|IT|
|151.0.169.244|IT|
|151.0.169.245|IT|
|151.0.169.246|IT|
|151.0.169.247|IT|
|151.0.169.250|IT|
|151.0.185.146|IT|
|151.0.185.147|IT|
|151.0.185.148|IT|
|151.0.185.149|IT|
|151.0.185.150|IT|
|151.84.220.205|IT|
|156.67.22.130|IT|
|162.17.254.17|US|
|---|---|
|162.226.120.185|US|
|162.226.120.186|US|
|162.226.120.187|US|
|162.226.120.188|US|
|162.226.120.189|US|
|178.251.78.84|IT|
|178.251.78.85|IT|
|178.251.78.86|IT|
|182.73.50.114|IN|
|182.73.50.115|IN|
|183.171.8.8|MY|
|184.185.80.174|US|
|185.82.169.99|IT|
|185.82.169.99|IT|
|185.198.198.254|TR|
|188.125.98.34|IT|
|---|---|
|188.125.98.42|IT|
|188.125.98.43|IT|
|188.125.98.45|IT|
|188.152.254.170|IT|
|190.5.142.154|SV|
|190.5.142.155|SV|
|194.219.4.77|GR|
|194.243.24.214|IT|
|198.0.120.242|US|
|198.0.120.243|US|
|205.237.46.215|CA|
|208.81.37.50|US|
|208.81.37.55|US|
|208.81.37.56|US|
|208.81.37.57|US|
|208.81.37.58|US|
|---|---|
|208.81.37.59|US|
|208.81.37.60|US|
|208.81.37.61|US|
|209.33.154.42|US|
|209.33.154.43|US|
|209.33.154.44|US|
|209.33.154.45|US|
|209.33.154.46|US|
|209.162.240.245|CA|
|209.181.47.54|US|
|212.31.113.18|CY|
|212.103.208.182|IT|
|212.103.222.218|IT|
|212.202.147.10|DE|
|212.234.179.113|FR|
|213.166.202.194|FR|
|---|---|
|216.211.37.59|CA |
|217.57.78.18|IT|
|217.57.80.18|IT|
|217.141.177.210|IT|
|218.161.2.56|TW|
Note: The IP addresses in bold were live C&Cs at the time of authoring this report.
