Loaders
|Loaders|Detection Name|
|---|---|
|a1066cfd823b3fad55fa7572e5be16a2e7cb2ebfd14fd8f3b6af4f2d6392421a|BKDR_TAILDR.ZTEK-A|
|bfef45c0797e01a5294411a8ca488093032d0974a8b0bcd92cbb2da4567230e7|BKDR_TALERET.ZTBH-A|
|66bfdfb5dd6d44960944e7f5d6132058f4faf1b72b22151aeba2469037fb04e6|BKDR_TALERET.ZTCG-A|
|97373d59533f52c5b7469e9e19ec06b9dcf4b3a7f32b2fdd6561116e8eb78fdb|97373d59533f52c5b7469e9e19ec06b9dcf4b3a7f32b2fdd6561116e8eb78fdb|
|353ba074ad58985bc1383e557dfbec8785c80d81900094af9f70e3afb7ca8a9c|BKDR_TALERET.ZTCJ-A|
|6860ac794097c39284af178bf81b8ee99b78bf095c15ed645b057127bef7a301|TROJ_DALGAN.JE|
|871cb0b02214a5f9c394220af40b5da302f176fb5f1cc5ff1fdd9fa3582b3ee2|871cb0b02214a5f9c394220af40b5da302f176fb5f1cc5ff1fdd9fa3582b3ee2|
|6240d314a9da040c5fceb371668d57d799438bca6156e27bf71346e707a9be74|TROJ_DALGAN.JG|
|e604ff4e21f89c586814577ecc6eec33d4c4f6b5c414900f2cc6d3282abf8acb|TROJ_DALGAN.ZTDF-A|
|cf060da38eb21370983ea61029fc5669dd263e404a213f4571c7af1d2574fe07|TROJ_TAILDR.ZTEH-AA|
|57df5a83dfcbe8ed656e6fe146508625edbe9c5f476c24ca8b4a669be270179d|57df5a83dfcbe8ed656e6fe146508625edbe9c5f476c24ca8b4a669be270179d|
|54739934c82f7822f0af9cfdf851678b83f4f8b43dc786df3ffe1e4aeb179111|54739934c82f7822f0af9cfdf851678b83f4f8b43dc786df3ffe1e4aeb179111|
|503e8b90b470219dd7748011fe2a8b096212b2ffb5dca3e984952f9cc49f1563|503e8b90b470219dd7748011fe2a8b096212b2ffb5dca3e984952f9cc49f1563|
|5c0d88e57c0cd5e720441913c961be71c95f59e7e17a128a3dfdc78bd2b06c6a|5c0d88e57c0cd5e720441913c961be71c95f59e7e17a128a3dfdc78bd2b06c6a|
|085b83cba2a086929f3b838635d95abc31f5595ae0921af3100ca3d0563a7ce7|085b83cba2a086929f3b838635d95abc31f5595ae0921af3100ca3d0563a7ce7|
|bc1a331ce58808bf7f2583c72e614d0e623d0399a06d83f9a21290daf76a50fe|TROJ_TAILDR.ZTEI-A|
|1476e338640068220297ebda79be3a692a49916880b29bb65f8c448bed4e554d|TROJ_TAILDR.ZTEJ-A|
|f3dd7b30daca1ea58060124cba263b3aea62c320f12b1354338bf9fb8405575a|TROJ_TALERET.GC|
|2fd6ce8eec9b1b189d67c4c41dac13e15a290b71267320003c3f69d7d096c458|TROJ_TALERET.VQK|
Figure 3. Attributed Earth Aughisky loaders
