
|Date A2/12/2|AuthorBOUT019|TargetSUBM|DescriptionIT AN ATTACK CYBER2|AttackATTAC018: A Yea|TargetKCSla TssIMELr of Cyber At|AttaIcNkEtacks – HClass|Country CACKM|LinkYBERAGEDD|Col10|Col11|
|---|---|---|---|---|---|---|---|---|---|---|
|01/10/2018|Attackerslinkedto SaudiArabia?|CanadianpermanentresidentandSaudidissidentOmarAbdulaziz|A report from The Citizen Labreveals that the Canadianpermanent resident andSaudi dissident OmarAbdulaziz was targeted by anattack infecting his phonewith NSO’s Pegasus spyware.|Malware/PoSMalware|XIndividual|CyberEspionage|CA|Link(https://citizenlab.ca/2018/10/the­kingdom­came­to­canada­how­saudi­linked­digital­espionage­reached­canadian­soil/)|Link(https://citizenlab.ca/2018/10/the­kingdom­came­to­canada­how­saudi­linked­digital­espionage­reached­canadian­soil/)|Link(https://citizenlab.ca/2018/10/the­kingdom­came­to­canada­how­saudi­linked­digital­espionage­reached­canadian­soil/)|
|01/10/2018|Attackerslinkedto SaudiArabia?|CanadianpermanentresidentandSaudidissidentOmarAbdulaziz|A report from The Citizen Labreveals that the Canadianpermanent resident andSaudi dissident OmarAbdulaziz was targeted by anattack infecting his phonewith NSO’s Pegasus spyware.|Malware/PoSMalware|XIndividual|CyberEspionage|CA|Link(https://citizenlab.ca/2018/10/the­kingdom­came­to­canada­how­saudi­linked­digital­espionage­reached­canadian­soil/)|Link||
|01/10/2018|Attackerslinkedto SaudiArabia?|CanadianpermanentresidentandSaudidissidentOmarAbdulaziz|A report from The Citizen Labreveals that the Canadianpermanent resident andSaudi dissident OmarAbdulaziz was targeted by anattack infecting his phonewith NSO’s Pegasus spyware.|Malware/PoSMalware|XIndividual|CyberEspionage|CA|Link(https://citizenlab.ca/2018/10/the­kingdom­came­to­canada­how­saudi­linked­digital­espionage­reached­canadian­soil/)|Link||
|01/10/2018|?|Apollo|Apollo, a sales engagementstartup boasting a databaseof more than 200 millioncontact records, is hackedand sends an email to itsaffected customers.|Unknown|S Otherserviceactivities|CyberCrime|US|Link(https://techcrunch.com/2018/10/01/apollo­contacts­data­breach/)|Link(https://techcrunch.com/2018/10/01/apollo­contacts­data­breach/)|Link(https://techcrunch.com/2018/10/01/apollo­contacts­data­breach/)|
|01/10/2018|?|Apollo|Apollo, a sales engagementstartup boasting a databaseof more than 200 millioncontact records, is hackedand sends an email to itsaffected customers.|Unknown|S Otherserviceactivities|CyberCrime|US|Link(https://techcrunch.com/2018/10/01/apollo­contacts­data­breach/)|Link||
|01/10/2018|?|Apollo|Apollo, a sales engagementstartup boasting a databaseof more than 200 millioncontact records, is hackedand sends an email to itsaffected customers.|Unknown|S Otherserviceactivities|CyberCrime|US|Link(https://techcrunch.com/2018/10/01/apollo­contacts­data­breach/)|Link||
|01/10/2018|RoamingMantis|iOS Users|Kaspersky discover that theRoaming Mantis group istesting a new monetizationscheme by redirecting iOSusers to pages that containthe Coinhive in­browsermining script rather than thenormal Apple phishing page.|Malicious ScriptInjection|XIndividual|CyberCrime|>1|Link(https://securelist.com/roaming­mantis­part­3/88071/)|Link(https://securelist.com/roaming­mantis­part­3/88071/)|Link(https://securelist.com/roaming­mantis­part­3/88071/)|
|01/10/2018|RoamingMantis|iOS Users|Kaspersky discover that theRoaming Mantis group istesting a new monetizationscheme by redirecting iOSusers to pages that containthe Coinhive in­browsermining script rather than thenormal Apple phishing page.|Malicious ScriptInjection|XIndividual|CyberCrime|>1|Link(https://securelist.com/roaming­mantis­part­3/88071/)|Link||
|01/10/2018|RoamingMantis|iOS Users|Kaspersky discover that theRoaming Mantis group istesting a new monetizationscheme by redirecting iOSusers to pages that containthe Coinhive in­browsermining script rather than thenormal Apple phishing page.|Malicious ScriptInjection|XIndividual|CyberCrime|>1|Link(https://securelist.com/roaming­mantis­part­3/88071/)|Link||
|02/10/2018|HiddenCobraAKALazarusGroup|US Banks|A joint technical alert fromthe DHS, the FBI, and theTreasury warns about a newATM cash­out scheme,dubbed “FASTCash,” used bythe Hidden Cobra APT.|Malware/PoSMalware|KFinancialandinsuranceactivities|CyberCrime|US|Link(https://securityaffairs.co/wordpress/76798/hacking/fastcash­hidden­cobra­attacks.html)|Link(https://securityaffairs.co/wordpress/76798/hacking/fastcash­hidden­cobra­attacks.html)|Link(https://securityaffairs.co/wordpress/76798/hacking/fastcash­hidden­cobra­attacks.html)|
|02/10/2018|HiddenCobraAKALazarusGroup|US Banks|A joint technical alert fromthe DHS, the FBI, and theTreasury warns about a newATM cash­out scheme,dubbed “FASTCash,” used bythe Hidden Cobra APT.|Malware/PoSMalware|KFinancialandinsuranceactivities|CyberCrime|US|Link(https://securityaffairs.co/wordpress/76798/hacking/fastcash­hidden­cobra­attacks.html)|Link||
|02/10/2018|HiddenCobraAKALazarusGroup|US Banks|A joint technical alert fromthe DHS, the FBI, and theTreasury warns about a newATM cash­out scheme,dubbed “FASTCash,” used bythe Hidden Cobra APT.|Malware/PoSMalware|KFinancialandinsuranceactivities|CyberCrime|US|Link(https://securityaffairs.co/wordpress/76798/hacking/fastcash­hidden­cobra­attacks.html)|Link||
