


Sentence : 2.1 Investigation into the Cobalt Strike C2 infrastructure involved
The table below lists the infrastructure observed in several of the incidents in which Cobalt Strike has been used.
Several domain names of the C2 servers spoof Akamai and Azure domains. In addition, the term « technology »
(and its derivatives) is regularly found in the domains and the same domain name is sometimes reused by deriving
its Top Level Domain (TLD).
|Incident|Domain Name|IP Address|Value of Server header|Value of Keep-Alive header|First Seen|Last Seen|
|---|---|---|---|---|---|---|
|Gefco|amajai-technologies.network|23.254.229.82|||2020-09-19|2020-11-19|
|Gefco|amajai-technologies.industries|192.236.209.151|||2020-09-17|2020-11-11|
|Fareva|cloudﬂace-network.digital|38.132.124.137|nginx|Timeout=10 max=100|2020-12-13|2021-01-08|
|Fareva|stackpatc-technologies.digital|185.245.84.133|apache|Timeout=10 max=100|2020-09-19|2021-01-08|
|Fareva|rackspare-technology.digital|38.132.99.229|nginx|Timeout=10 max=100|2020-12-26|2021-01-06|
|Company B|asurecloud.tech|94.158.244.89|SAF|Timeout=11 max=120|2021-02-09|2021-03-08|
|Company B|asurecloud.tech|80.209.233.56|apache|Timeout=10 max=100|2021-03-01|2021-03-03|
|Company B|akamacloud.tech|80.209.233.56|apache|Timeout=10 max=100|2021-03-01|2021-03-03|
|Company B|akamacloud.tech|138.201.149.51|||2021-02-12|2021-03-03|
|Pierre Fabre|asureupdate.tech|194.15.112.119|de Update|Timeout=11 max=120|2021-03-27|2021-05-24|
|Pierre Fabre|asureupdate.pro|194.15.112.118|BizTalk|Timeout=10 max=100|2021-03-27|2021-04-03|
|Pierre Fabre|akamaclouds.app|66.181.34.13|||2021-03-26|2021-04-20|
|The DFIR Report|cloudmetric.online|45.86.163.78|Nginx i386|Timeout=11 max=60|2021-02-28|2021-03-28|
|The DFIR Report|smalleststores.com|195.189.99.74|cloudﬂare|Timeout=10 max=100|2021-03-07|2021-03-15|
Common configuration characteristics, called C2 server search heuristics, and here based on the values of the HTTP
headers « Server » and « Keep-Alive », enabled 33 new Cobalt Strike C2 servers to be identified:
|Common Value|Domain Name|IP Address|First Seen|Last Seen|
|---|---|---|---|---|
|apache / timeout 10|akastat.app|62.128.111.176|2021-04-24|2021-05-17|
|BizTalk|azurestat.app|94.158.244.78|2021-04-24|2021-05-18|
|BizTalk|cdnengine.biz|91.134.187.27|2021-03-04|2021-04-19|
|BizTalk|akamaclouds.tech|66.181.34.16|2021-03-25|2021-05-19|
|BizTalk|akabox.space|139.99.178.86|2021-05-12|2021-05-18|
|cloudﬂare|setupfastonline.com|212.114.52.87|2021-03-27|2021-05-19|
|cloudﬂare|akamalupdate.site|51.255.96.55|2021-02-12|2021-03-04|
|cloudﬂare|securitypanels.org|37.120.239.145|2021-03-23|2021-04-14|
|cloudﬂare|c2.hax.vg|54.206.202.171|2021-04-24|2021-05-02|
|de Update|azuresecure.tech|80.209.228.62|2021-04-08|2021-05-04|
|de Update|securesurvey.cloud|46.17.63.244|2021-03-05|2021-04-27|
|de Update|akabox.tech|194.135.90.221|2021-05-17|2021-06-06|
|Nginx i386|electronicwhosaleonline.com|74.118.138.236|2021-04-12|2021-05-04|
October 26, 2021 Page 6 of 26
Output : 
{
    "nodes": [
        {"id": 1, "description": "Cobalt Strike", "type" : "TTPS"},
        {"id": 2, "description": "Akamai and Azure domains", "type" : "CCSH"},
        {"id": 3, "description": "amajai-technologies.network", "type" : "CCSH"},
        {"id": 4, "description": "23.254.229.82", "type" : "CCSH"},
        {"id": 5, "description": "amajai-technologies.industries", "type" : "CCSH"},
        {"id": 6, "description": "192.236.209.151", "type" : "CCSH"},
        {"id": 7, "description": "cloudﬂace-network.digital", "type" : "CCSH"},
        {"id": 8, "description": "38.132.124.137", "type" : "CCSH"},
        {"id": 9, "description": "stackpatc-technologies.digital", "type" : "CCSH"},
        {"id": 10, "description": "185.245.84.133", "type" : "CCSH"},
        {"id": 11, "description": "rackspare-technology.digital", "type" : "CCSH"},
        {"id": 12, "description": "38.132.99.229", "type" : "CCSH"},
        {"id": 13, "description": "asurecloud.tech", "type" : "CCSH"},
        {"id": 14, "description": "94.158.244.89", "type" : "CCSH"},
        {"id": 15, "description": "80.209.233.56", "type" : "CCSH"},
        {"id": 16, "description": "akamacloud.tech", "type" : "CCSH"},
        {"id": 17, "description": "138.201.149.51", "type" : "CCSH"},
        {"id": 18, "description": "asureupdate.tech", "type" : "CCSH"},
        {"id": 19, "description": "194.15.112.119", "type" : "CCSH"},
        {"id": 20, "description": "azureupdate.pro", "type" : "CCSH"},
        {"id": 21, "description": "194.15.112.118", "type" : "CCSH"},
        {"id": 22, "description": "akamaclouds.app", "type" : "CCSH"},
        {"id": 23, "description": "66.181.34.13", "type" : "CCSH"},
        {"id": 24, "description": "cloudmetric.online", "type" : "CCSH"},
        {"id": 25, "description": "45.86.163.78", "type" : "CCSH"},
        {"id": 26, "description": "smalleststores.com", "type" : "CCSH"},
        {"id": 27, "description": "195.189.99.74", "type" : "CCSH"},
        {"id": 28, "description": "akastat.app", "type" : "CCSH"},
        {"id": 29, "description": "62.128.111.176", "type" : "CCSH"},
        {"id": 30, "description": "azurestat.app", "type" : "CCSH"},
        {"id": 31, "description": "94.158.244.78", "type" : "CCSH"},
        {"id": 32, "description": "cdnengine.biz", "type" : "CCSH"},
        {"id": 33, "description": "91.134.187.27", "type" : "CCSH"},
        {"id": 34, "description": "akamaclouds.tech", "type" : "CCSH"},
        {"id": 35, "description": "66.181.34.16", "type" : "CCSH"},
        {"id": 36, "description": "akabox.space", "type" : "CCSH"},
        {"id": 37, "description": "139.99.178.86", "type" : "CCSH"},
        {"id": 38, "description": "setupfastonline.com", "type" : "CCSH"},
        {"id": 39, "description": "212.114.52.87", "type" : "CCSH"},
        {"id": 40, "description": "akamalupdate.site", "type" : "CCSH"},
        {"id": 41, "description": "51.255.96.55", "type" : "CCSH"},
        {"id": 42, "description": "securitypanels.org", "type" : "CCSH"},
        {"id": 43, "description": "37.120.239.145", "type" : "CCSH"},
        {"id": 44, "description": "c2.hax.vg", "type" : "CCSH"},
        {"id": 45, "description": "54.206.202.171", "type" : "CCSH"},
        {"id": 46, "description": "azuresecure.tech", "type" : "CCSH"},
        {"id": 47, "description": "80.209.228.62", "type" : "CCSH"},
        {"id": 48, "description": "securesurvey.cloud", "type" : "CCSH"},
        {"id": 49, "description": "46.17.63.244", "type" : "CCSH"},
        {"id": 50, "description": "akabox.tech", "type" : "CCSH"},
