


Sentence : TLP:WHITE
Identification of a new cyber criminal group: Lockean
|Nginx i386|madesecuritybusiness.com|204.16.247.35|2021-05-04|2021-07-28|
|---|---|---|---|---|
|Nginx i386|ropesecuritybusiness.com|74.118.138.174|2021-05-01|2021-07-27|
|Nginx i386|knotsecuritybusiness.com|23.108.57.245|2021-04-28|2021-06-24|
|Nginx i386|ticksecuritybusiness.com|23.108.57.31|2021-05-03|2021-06-23|
|Nginx i386|entirelysecuritybusiness.com|204.16.247.224|2021-05-17|2021-07-26|
|Nginx i386|hesitatesecuritybusiness.com|23.108.57.148|2021-05-03|2021-06-25|
|Nginx i386|stexwhosaleonline.com|23.82.185.111|2021-04-09|2021-05-22|
|Nginx i386|dealsforyoutoday.org|198.244.135.225|2021-04-08|2021-04-26|
|Nginx i386|onlineceoshelp.com|108.177.235.180|2021-04-18|2021-06-18|
|Nginx i386|risetomoon.com|213.227.154.244|2021-04-29|2021-06-23|
|Nginx i386|notescloud.org|185.228.83.170|2021-04-05|2021-04-10|
|Nginx i386|amasonstore.com|46.30.188.31|2021-03-18|2021-04-04|
|Nginx i386|classworldint.com|45.138.172.91|2021-05-03|2021-06-24|
|Nginx i386|orientalclient.com|74.118.138.235|2021-04-10|2021-05-04|
|Nginx i386|perfectappt.com|104.194.222.88|2021-03-20|2021-04-01|
|Nginx i386|displaychecks.com|108.177.235.52|2021-04-29|2021-06-22|
|Nginx i386|itstrueloves.com|23.82.185.110|2021-05-12|2021-05-14|
|Nginx i386|adjustclouds.com|108.177.235.44|2021-04-22|2021-06-18|
|Nginx i386|killsecuritybusiness.com|23.108.57.209|2021-04-29|2021-05-17|
|Nginx i386|securitybusinessmean.com|213.227.155.210|2021-05-02|2021-05-09|
|Nginx i386|justicedev.com|46.17.63.191|2021-04-14|2021-06-06|
Several of these C2 servers use the naming convention spoofing Akamai and Azure observed in the incidents studied:


« akastat.space »


« azurestat.app »


« akamaclouds.tech »


« akabox.space »


« akabox.tech »


« akamalupdate.site »


« azuresecure.tech »


Note that the domain name « akamalupdate.site », which shares common headers with the C2 server « smalleststores.com »
observed by The DFIR Report, corresponds to the Akamai/Azure naming convention. This constitutes a technical
infrastructure link between the incident described by The DFIR Report and those observed by the ANSSI.
The domain names that do not use the Akamai/Azure naming convention are not strongly linked to this cluster, as
the header similarities alone do not seem to be a sufficient element to technically group them together.
October 26, 2021 Page 7 of 26
Output : 
{
    "nodes": [
        {"id": 1, "description": "Lockean", "type" : "ACTO"},
        {"id": 2, "description": "Nginx i386", "type" : "APPS"},
        {"id": 3, "description": "madesecuritybusiness.com", "type" : "CCSH"},
        {"id": 4, "description": "204.16.247.35", "type" : "CCSH"},
        {"id": 5, "description": "ropesecuritybusiness.com", "type" : "CCSH"},
        {"id": 6, "description": "74.118.138.174", "type" : "CCSH"},
        {"id": 7, "description": "knotsecuritybusiness.com", "type" : "CCSH"},
        {"id": 8, "description": "23.108.57.245", "type" : "CCSH"},
        {"id": 9, "description": "ticksecuritybusiness.com", "type" : "CCSH"},
        {"id": 10, "description": "23.108.57.31", "type" : "CCSH"},
        {"id": 11, "description": "entirelysecuritybusiness.com", "type" : "CCSH"},
        {"id": 12, "description": "204.16.247.224", "type" : "CCSH"},
        {"id": 13, "description": "hesitatesecuritybusiness.com", "type" : "CCSH"},
        {"id": 14, "description": "23.108.57.148", "type" : "CCSH"},
        {"id": 15, "description": "stexwhosaleonline.com", "type" : "CCSH"},
        {"id": 16, "description": "23.82.185.111", "type" : "CCSH"},
        {"id": 17, "description": "dealsforyoutoday.org", "type" : "CCSH"},
        {"id": 18, "description": "198.244.135.225", "type" : "CCSH"},
        {"id": 19, "description": "onlineceoshelp.com", "type" : "CCSH"},
        {"id": 20, "description": "108.177.235.180", "type" : "CCSH"},
        {"id": 21, "description": "risetomoon.com", "type" : "CCSH"},
        {"id": 22, "description": "213.227.154.244", "type" : "CCSH"},
        {"id": 23, "description": "notescloud.org", "type" : "CCSH"},
        {"id": 24, "description": "185.228.83.170", "type" : "CCSH"},
        {"id": 25, "description": "amasonstore.com", "type" : "CCSH"},
        {"id": 26, "description": "46.30.188.31", "type" : "CCSH"},
        {"id": 27, "description": "classworldint.com", "type" : "CCSH"},
        {"id": 28, "description": "45.138.172.91", "type" : "CCSH"},
        {"id": 29, "description": "orientalclient.com", "type" : "CCSH"},
        {"id": 30, "description": "74.118.138.235", "type" : "CCSH"},
        {"id": 31, "description": "perfectappt.com", "type" : "CCSH"},
        {"id": 32, "description": "104.194.222.88", "type" : "CCSH"},
        {"id": 33, "description": "displaychecks.com", "type" : "CCSH"},
        {"id": 34, "description": "108.177.235.52", "type" : "CCSH"},
        {"id": 35, "description": "itstrueloves.com", "type" : "CCSH"},
        {"id": 36, "description": "23.82.185.110", "type" : "CCSH"},
        {"id": 37, "description": "adjustclouds.com", "type" : "CCSH"},
        {"id": 38, "description": "108.177.235.44", "type" : "CCSH"},
        {"id": 39, "description": "killsecuritybusiness.com", "type" : "CCSH"},
        {"id": 40, "description": "23.108.57.209", "type" : "CCSH"},
        {"id": 41, "description": "securitybusinessmean.com", "type" : "CCSH"},
        {"id": 42, "description": "213.227.155.210", "type" : "CCSH"},
        {"id": 43, "description": "justicedev.com", "type" : "CCSH"},
        {"id": 44, "description": "46.17.63.191", "type" : "CCSH"},
        {"id": 45, "description": "akastat.space", "type" : "URLS"},
        {"id": 46, "description": "azurestat.app", "type" : "URLS"},
        {"id": 47, "description": "akamaclouds.tech", "type" : "URLS"},
        {"id": 48, "description": "akabox.space", "type" : "URLS"},
        {"id": 49, "description": "akabox.tech", "type" : "URLS"},
        {"id": 50, "description": "akamalupdate.site", "type" : "URLS"},
        {"id": 51, "description": "azuresecure.tech", "type" : "URLS"},
        {"id": 52, "description": "smalleststores.com", "type" : "CCSH"}
    ],
    "edges": [
        {"source": 1, "target": 3, "rel_name" : "uses"},
        {"source": 1, "target": 4, "rel_name" : "uses"},
        {"source": 1, "target": 5, "rel_name" : "uses"},
        {"source": 1, "target": 6, "rel_name" : "uses"},
        {"source": 1, "target": 7, "rel_name" : "uses"},
        {"source": 1, "target": 8, "rel_name" : "uses"},
        {"source": 1, "target": 9, "rel_name" : "uses"},
        {"source": 1, "target": 10, "rel_name" : "uses"},
        {"source": 1, "target": 11, "rel_name" : "uses"},
        {"source": 1, "target": 12, "rel_name" : "uses"},
        {"source": 1, "target": 13, "rel_name" : "uses"},
        {"source": 1, "target": 14, "rel_name" : "uses"},
        {"source": 1, "target": 15, "rel_name" : "uses"},
        {"source": 1, "target": 16, "rel_name" : "uses"},
        {"source": 1, "target": 17, "rel_name" : "uses"},
        {"source": 1, "target": 18, "rel_name" : "uses"},
        {"source": 1, "target": 19, "rel_name" : "uses"},
        {"source": 1, "target": 20, "rel_name" : "uses"},
        {"source": 1, "target": 21, "rel_name" : "uses"},
        {"source": 1, "target": 22, "rel_name" : "uses"},
        {"source": 1, "target": 23, "rel_name" : "uses"},
        {"source": 1, "target": 24, "rel_name" : "uses"},
        {"source": 1, "target": 25, "rel_name" : "uses"},
        {"source": 1, "target": 26, "rel_name" : "uses"},
        {"source": 1, "target": 27, "rel_name" : "uses"},
        {"source": 1, "target": 28, "rel_name" : "uses"},
        {"source": 1, "target": 29, "rel_name" : "uses"},
        {"source": 1, "target": 30, "rel_name" : "uses"},
        {"source": 1, "target": 31, "rel_name" : "uses"},
        {"source": 1, "target": 32, "rel_name" : "uses"},
        {"source": 1, "target": 33, "rel_name" : "uses"},
        {"source": 1, "target": 34, "rel_name" : "uses"},
        {"source": 1, "target": 35, "rel_name" : "uses"},
        {"source": 1, "target": 36, "rel_name" : "uses"},
        {"source": 1, "target": 37, "rel_name" : "uses"},
        {"source": 1, "target": 38, "rel_name" : "uses"},
        {"source": 1, "target": 39, "rel_name" : "uses"},
        {"source": 1, "target": 40, "rel_name" : "uses"},
        {"source": 1, "target": 41, "rel_name" : "uses"},
        {"source": 1, "target": 42, "rel_name" : "uses"},
        {"source": 1, "target": 43, "rel_name" : "uses"},
        {"source": 1, "target": 44, "rel_name" : "uses"},
        {"source": 1, "target": 50, "rel_name" : "uses"},
        {"source": 1, "target": 52, "rel_name" : "linked_to"}
    ]
}
