5.3 Indicators of compromise
|Indicator|Comment|
|---|---|
|amajai-technologies.network|Cobalt Strike C2 Server|
|amajai-technologies.industries|Cobalt Strike C2 Server|
|cloudﬂace-network.digital|Cobalt Strike C2 Server|
|stackpatc-technologies.digital|Cobalt Strike C2 Server|
|rackspare-technology.digital|Cobalt Strike C2 Server|
|asurecloud.tech|Cobalt Strike C2 Server|
|akamacloud.tech|Cobalt Strike C2 Server|
|asureupdate.tech|Cobalt Strike C2 Server|
|asureupdate.pro|Cobalt Strike C2 Server|
|akamaclouds.app|Cobalt Strike C2 Server|
|cloudmetric.online|Cobalt Strike C2 Server|
|smalleststores.com|Cobalt Strike C2 Server|
|akastat.app|Cobalt Strike C2 Server|
|azurestat.app|Cobalt Strike C2 Server|
|cdnengine.biz|Cobalt Strike C2 Server|
|akamaclouds.tech|Cobalt Strike C2 Server|
|akabox.space|Cobalt Strike C2 Server|
|setupfastonline.com|Cobalt Strike C2 Server|
|akamalupdate.site|Cobalt Strike C2 Server|
|securitypanels.org|Cobalt Strike C2 Server|
|c2.hax.vg|Cobalt Strike C2 Server|
|azuresecure.tech|Cobalt Strike C2 Server|
|securesurvey.cloud|Cobalt Strike C2 Server|
|akabox.tech|Cobalt Strike C2 Server|
|electronicwhosaleonline.com|Cobalt Strike C2 Server|
|madesecuritybusiness.com|Cobalt Strike C2 Server|
|ropesecuritybusiness.com|Cobalt Strike C2 Server|
|knotsecuritybusiness.com|Cobalt Strike C2 Server|
|ticksecuritybusiness.com|Cobalt Strike C2 Server|
|entirelysecuritybusiness.com|Cobalt Strike C2 Server|
|hesitatesecuritybusiness.com|Cobalt Strike C2 Server|
|stexwhosaleonline.com|Cobalt Strike C2 Server|
|dealsforyoutoday.org|Cobalt Strike C2 Server|
|onlineceoshelp.com|Cobalt Strike C2 Server|
|risetomoon.com|Cobalt Strike C2 Server|
|notescloud.org|Cobalt Strike C2 Server|
October 26, 2021 Page 21 of 26
