


Sentence : Symbols used
Attack targets
Infrastructure
Web resources
POS terminals
Mobile devices
IoT
Attack methods
Malware use
Credential compromise
Social engineering
Hacking
Web attacks
Victim categories
Finance
Government
Healthcare
Science and education
Industrial companies
Military
Online services
Hospitality and
entertainment
Transportation
IT
Retail
Individuals
Telecom
Blockchain
Other
3
Cybersecurity threatscape:
Q1 2019









Output : 
{
    "nodes": [
        {"id": 1, "description": "POS terminals", "type" : "TAMP"},
        {"id": 2, "description": "Mobile devices", "type" : "TAMP"},
        {"id": 3, "description": "IoT", "type" : "TAMP"},
        {"id": 4, "description": "Malware use", "type" : "TTPS"},
        {"id": 5, "description": "Credential compromise", "type" : "TTPS"},
        {"id": 6, "description": "Social engineering", "type" : "TTPS"},
        {"id": 7, "description": "Hacking", "type" : "TTPS"},
        {"id": 8, "description": "Web attacks", "type" : "TTPS"},
        {"id": 9, "description": "Finance", "type" : "COUN"},
        {"id": 10, "description": "Government", "type" : "COUN"},
        {"id": 11, "description": "Healthcare", "type" : "COUN"},
        {"id": 12, "description": "Science and education", "type" : "COUN"},
        {"id": 13, "description": "Industrial companies", "type" : "COUN"},
        {"id": 14, "description": "Military", "type" : "COUN"},
        {"id": 15, "description": "Online services", "type" : "COUN"},
        {"id": 16, "description": "Hospitality and entertainment", "type" : "COUN"},
        {"id": 17, "description": "Transportation", "type" : "COUN"},
        {"id": 18, "description": "IT", "type" : "COUN"},
        {"id": 19, "description": "Retail", "type" : "COUN"},
        {"id": 20, "description": "Individuals", "type" : "COUN"},
        {"id": 21, "description": "Telecom", "type" : "COUN"},
        {"id": 22, "description": "Blockchain", "type" : "COUN"}
    ],
    "edges": [
        {"source": 4, "target": 9, "rel_name" : "targeted by"},
        {"source": 4, "target": 10, "rel_name" : "targeted by"},
        {"source": 4, "target": 11, "rel_name" : "targeted by"},
        {"source": 4, "target": 12, "rel_name" : "targeted by"},
        {"source": 4, "target": 13, "rel_name" : "targeted by"},
        {"source": 4, "target": 14, "rel_name" : "targeted by"},
        {"source": 4, "target": 15, "rel_name" : "targeted by"},
        {"source": 4, "target": 16, "rel_name" : "targeted by"},
        {"source": 4, "target": 17, "rel_name" : "targeted by"},
        {"source": 4, "target": 18, "rel_name" : "targeted by"},
        {"source": 4, "target": 19, "rel_name" : "targeted by"},
        {"source": 4, "target": 20, "rel_name" : "targeted by"},
        {"source": 4, "target": 21, "rel_name" : "targeted by"},
        {"source": 4, "target": 22, "rel_name" : "targeted by"},
        {"source": 5, "target": 9, "rel_name" : "targeted by"},
        {"source": 5, "target": 10, "rel_name" : "targeted by"},
        {"source": 5, "target": 11, "rel_name" : "targeted by"},
        {"source": 5, "target": 12, "rel_name" : "targeted by"},
        {"source": 5, "target": 13, "rel_name" : "targeted by"},
        {"source": 5, "target": 14, "rel_name" : "targeted by"},
        {"source": 5, "target": 15, "rel_name" : "targeted by"},
        {"source": 5, "target": 16, "rel_name" : "targeted by"},
        {"source": 5, "target": 17, "rel_name" : "targeted by"},
        {"source": 5, "target": 18, "rel_name" : "targeted by"},
        {"source": 5, "target": 19, "rel_name" : "targeted by"},
        {"source": 5, "target": 20, "rel_name" : "targeted by"},
        {"source": 5, "target": 21, "rel_name" : "targeted by"},
        {"source": 5, "target": 22, "rel_name" : "targeted by"},
        {"source": 6, "target": 9, "rel_name" : "targeted by"},
        {"source": 6, "target": 10, "rel_name" : "targeted by"},
        {"source": 6, "target": 11, "rel_name" : "targeted by"},
        {"source": 6, "target": 12, "rel_name" : "targeted by"},
        {"source": 6, "target": 13, "rel_name" : "targeted by"},
        {"source": 6, "target": 14, "rel_name" : "targeted by"},
        {"source": 6, "target": 15, "rel_name" : "targeted by"},
        {"source": 6, "target": 16, "rel_name" : "targeted by"},
        {"source": 6, "target": 17, "rel_name" : "targeted by"},
        {"source": 6, "target": 18, "rel_name" : "targeted by"},
        {"source": 6, "target": 19, "rel_name" : "targeted by"},
        {"source": 6, "target": 20, "rel_name" : "targeted by"},
        {"source": 6, "target": 21, "rel_name" : "targeted by"},
        {"source": 6, "target": 22, "rel_name" : "targeted by"},
        {"source": 7, "target": 9, "rel_name" : "targeted by"},
        {"source": 7, "target": 10, "rel_name" : "targeted by"},
        {"source": 7, "target": 11, "rel_name" : "targeted by"},
        {"source": 7, "target": 12, "rel_name" : "targeted by"},
        {"source": 7, "target": 13, "rel_name" : "targeted by"},
        {"source": 7, "target": 14, "rel_name" : "targeted by"},
        {"source": 7, "target": 15, "rel_name" : "targeted by"},
        {"source": 7, "target": 16, "rel_name" : "targeted by"},
        {"source": 7, "target": 17, "rel_name" : "targeted by"},
        {"source": 7, "target": 18, "rel_name" : "targeted by"},
        {"source": 7, "target": 19, "rel_name" : "targeted by"},
        {"source": 7, "target": 20, "rel_name" : "targeted by"},
        {"source": 7, "target": 21, "rel_name" : "targeted by"},
        {"source": 7, "target": 22, "rel_name" : "targeted by"},
        {"source": 8, "target": 9, "rel_name" : "targeted by"},
        {"source": 8, "target": 10, "rel_name" : "targeted by"},
        {"source": 8, "target": 11, "rel_name" : "targeted by"},
        {"source": 8, "target": 12, "rel_name" : "targeted by"},
        {"source": 8, "target": 13, "rel_name" : "targeted by"},
